"1","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Overvote","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Smith","Smith","Smith","Stevens","Stevens","Stevens","Write-in","Write-in","Write-in","","","Jones","Jones","Jones","Jones","Overvote","Stevens","Stevens","Stevens","Write-in","Write-in","Write-in","","Jones","Jones","Jones","Jones","Overvote","Smith","Smith","Smith","Smith","Write-in","Write-in","Write-in","","Jones","Jones","Jones","Smith","Smith","Smith","Stevens","Stevens","Stevens",""
"3","","","","Stevens","Write-in","","Smith","Write-in","","Smith","Stevens","","","","Overvote","Stevens","Write-in","","","Jones","Write-in","","Jones","Stevens","","","Overvote","Smith","Write-in","","","Jones","Overvote","Write-in","","Jones","Smith","","","Smith","Stevens","","Jones","Stevens","","Jones","Smith",""
"05-800 Chiniak","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"05-810 Flats","24","0","16","23","0","1","4","0","0","0","0","0","38","14","0","7","0","0","8","6","0","0","0","0","155","5","0","18","0","0","7","46","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","54"
"05-815 Kodiak Island South","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","10","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"05-820 Kodiak No. 1","24","0","8","16","0","3","5","0","0","0","0","0","32","16","0","7","0","0","10","10","0","0","0","0","220","6","0","27","0","0","19","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
"05-825 Kodiak No. 2","23","2","6","15","0","1","5","0","0","0","0","0","41","12","0","18","0","1","6","11","0","0","0","0","219","10","1","18","0","0","11","43","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","50"
"05-830 Mission Road","54","0","25","39","0","3","14","0","0","0","0","0","97","43","0","36","1","0","22","25","0","2","0","0","466","13","0","63","0","0","31","151","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","72"
"05-835 Old Harbor","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","12","0","0","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"05-840 Ouzinkie","3","0","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","29","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"05-845 Port Lions","5","0","1","2","0","0","1","0","0","0","0","0","3","1","0","1","0","0","0","0","0","0","0","0","26","0","0","3","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
