"1","Begich","Begich","Begich","Begich","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Overvote","Palin","Peltola","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","",""
"House District 1","666","1","969","276","759","977","1","84","1589","1240","1","161","102","50","12"
"House District 10","284","0","1232","249","551","1028","3","104","1900","1553","2","194","33","10","10"
"House District 11","345","2","1650","270","453","1191","0","79","1997","1951","3","216","10","17","6"
"House District 12","366","0","1038","214","356","823","1","77","1860","1748","0","229","36","19","7"
"House District 13","305","0","883","175","384","790","3","65","1543","1359","4","184","63","23","9"
"House District 14","245","2","624","158","377","599","3","97","2123","1586","5","280","33","14","9"
"House District 15","317","0","1420","271","427","1045","1","116","1953","1860","6","255","14","21","3"
"House District 16","369","0","1087","283","339","808","2","66","2567","2206","1","274","40","18","8"
"House District 17","237","3","657","167","250","473","0","56","2460","1720","2","280","110","34","16"
"House District 18","91","0","303","63","160","356","0","36","670","500","0","94","14","6","4"
"House District 19","108","0","346","87","217","385","1","69","1303","1002","0","178","14","6","12"
"House District 2","391","0","589","169","946","900","2","110","2618","1510","5","248","47","26","6"
"House District 20","287","0","677","155","278","578","2","56","1691","1510","6","170","34","18","7"
"House District 21","358","2","1192","211","399","922","0","79","2073","1749","2","204","85","21","16"
"House District 22","155","1","561","119","321","508","0","100","1111","900","3","151","19","10","5"
"House District 23","418","2","1762","284","602","1531","1","98","1696","1690","1","196","17","32","6"
"House District 24","663","3","1854","318","550","1475","0","87","1377","1422","6","165","45","21","10"
"House District 25","554","1","1966","230","829","1694","2","105","1349","1345","1","195","54","37","16"
"House District 26","361","2","1721","183","955","1980","2","148","846","775","2","168","32","24","14"
"House District 27","345","3","1531","141","914","1878","4","145","785","733","2","137","20","25","15"
"House District 28","515","3","1642","230","807","1685","3","96","933","954","3","134","60","16","17"
"House District 29","525","4","1946","216","942","1820","0","96","1216","1152","1","165","77","42","18"
"House District 3","389","0","943","285","513","976","2","98","2978","2371","4","200","15","27","3"
"House District 30","356","4","1545","149","1297","1891","9","191","1341","1089","1","160","48","32","22"
"House District 31","202","1","633","168","427","886","1","115","1423","1238","3","190","17","15","11"
"House District 32","201","0","512","107","341","770","0","53","673","611","3","95","23","12","5"
"House District 33","301","3","1281","145","784","1940","0","111","744","694","1","164","45","34","9"
"House District 34","315","0","1216","203","720","1593","6","119","1810","1453","0","198","24","22","14"
"House District 35","261","0","961","225","453","1230","2","110","2309","1989","1","301","11","17","8"
"House District 36","544","2","1123","162","898","1315","2","85","2007","1476","4","207","80","28","19"
"House District 37","214","5","331","92","274","355","2","68","1118","809","2","269","96","13","17"
"House District 38","78","1","142","57","105","142","2","71","1353","1232","19","513","25","6","17"
"House District 39","109","1","150","87","183","193","1","88","1236","1260","9","446","24","6","24"
"House District 4","289","2","566","202","305","433","1","48","3230","2274","9","283","44","16","11"
"House District 40","136","0","108","80","167","194","1","40","816","665","5","204","40","16","4"
"House District 5","349","1","702","134","627","918","1","115","1605","1215","0","181","91","41","9"
"House District 6","507","1","1763","185","1099","1493","9","129","2686","1664","2","220","37","42","10"
"House District 7","477","3","1431","182","1042","1779","2","135","1215","947","5","175","17","22","11"
"House District 8","738","1","1849","184","1172","2151","0","101","1267","1049","0","128","103","36","14"
"House District 9","522","2","2165","359","453","1224","0","61","2702","2468","1","213","80","27","7"
"House District 99","1","0","2","1","3","5","0","0","51","40","0","1","0","0","0"
"Total","13894","56","43073","7476","22679","42934","72","3707","66224","55009","125","8426","1779","902","441"
