"1","Begich","Peltola","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","175","267","6","51","0"
"01-610 Ketchikan No. 2","268","365","14","91","1"
"01-620 Ketchikan No. 3","279","206","14","42","1"
"01-640 North Tongass No. 1","204","126","2","46","0"
"01-650 North Tongass No. 2","406","249","12","75","0"
"01-660 Saxman","27","68","3","16","0"
"01-670 South Tongass","329","256","7","54","3"
"01-675 Coffman Cove","36","23","0","28","0"
"01-680 Metlakatla","108","259","11","29","0"
"01-690 Wrangell","323","234","7","119","2"
"02-700 Angoon","16","107","4","5","0"
"02-705 Craig","131","148","3","51","0"
"02-720 Hoonah","77","147","1","28","0"
"02-725 Hydaburg","3","62","1","3","0"
"02-730 Kake","21","89","1","13","0"
"02-735 Kasaan","7","11","1","9","0"
"02-740 Klawock","95","131","2","53","0"
"02-750 Pelican-Elfin Cove","9","19","0","10","0"
"02-755 Petersburg-Kupreanof","320","389","5","147","0"
"02-760 Port Alexander","2","12","0","1","0"
"02-765 Sitka No. 1","298","659","5","112","2"
"02-770 Sitka No. 2","249","709","8","106","0"
"02-775 Tenakee Springs","7","34","0","3","0"
"02-780 Thorne Bay","82","38","0","40","1"
"02-785 Yakutat","37","129","2","12","0"
"03-300 Auke Bay","182","339","1","22","0"
"03-305 Lynn Canal","164","287","0","22","1"
"03-310 Melvin Park","184","314","2","50","1"
"03-315 Mendenhall Glacier","343","523","1","67","0"
"03-320 Thunder Mountain","316","453","0","83","0"
"03-325 Gustavus","38","132","0","19","0"
"03-330 Haines No. 1","219","386","3","60","1"
"03-335 Haines No. 2","43","56","1","15","0"
"03-340 Klukwan","6","38","0","1","0"
"03-345 Skagway","63","272","0","15","0"
"04-100 Douglas","87","460","4","20","0"
"04-105 Juneau Airport Area","113","143","5","30","2"
"04-110 Juneau No. 1","104","385","5","33","0"
"04-115 Juneau No. 2","53","497","3","13","0"
"04-120 Juneau No. 3","63","220","2","12","2"
"04-125 Lemon Creek","138","310","5","33","2"
"04-130 Glacier Valley Area","160","226","2","27","1"
"04-135 North Douglas","89","386","1","14","0"
"05-800 Chiniak","8","21","0","9","0"
"05-810 Flats","170","194","8","55","1"
"05-815 Kodiak Island South","9","6","0","2","0"
"05-820 Kodiak No. 1","171","265","7","67","0"
"05-825 Kodiak No. 2","187","222","14","70","2"
"05-830 Mission Road","512","492","10","147","0"
"05-835 Old Harbor","4","22","1","0","0"
"05-840 Ouzinkie","5","39","0","5","0"
"05-845 Port Lions","17","18","2","16","0"
"05-860 Cordova","149","321","3","42","0"
"05-865 Seward-Lowell Point","203","294","10","51","1"
"05-870 Tatitlek","1","15","1","0","0"
"06-200 Anchor Point","530","216","1","149","1"
"06-210 Diamond Ridge","198","236","3","49","0"
"06-220 Fox River","152","102","1","31","0"
