"1","Begich","Bye","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","234","95","6","164","0"
"01-610 Ketchikan No. 2","360","123","14","241","1"
"01-620 Ketchikan No. 3","324","55","14","148","1"
"01-640 North Tongass No. 1","243","43","2","90","0"
"01-650 North Tongass No. 2","471","72","12","187","0"
"01-660 Saxman","40","16","3","55","0"
"01-670 South Tongass","387","69","7","183","3"
"01-675 Coffman Cove","37","11","0","39","0"
"01-680 Metlakatla","166","63","11","167","0"
"01-690 Wrangell","387","71","7","218","2"
"02-700 Angoon","34","20","4","74","0"
"02-705 Craig","162","51","3","117","0"
"02-720 Hoonah","101","26","1","125","0"
"02-725 Hydaburg","17","9","1","42","0"
"02-730 Kake","31","14","1","78","0"
"02-735 Kasaan","9","6","1","12","0"
"02-740 Klawock","132","43","2","102","2"
"02-750 Pelican-Elfin Cove","14","9","0","15","0"
"02-755 Petersburg-Kupreanof","419","109","5","328","0"
"02-760 Port Alexander","5","4","0","6","0"
"02-765 Sitka No. 1","445","194","5","430","2"
"02-770 Sitka No. 2","411","172","8","480","1"
"02-775 Tenakee Springs","12","12","0","20","0"
"02-780 Thorne Bay","86","24","0","50","1"
"02-785 Yakutat","67","44","2","67","0"
"03-300 Auke Bay","309","74","1","160","0"
"03-305 Lynn Canal","243","80","0","150","1"
"03-310 Melvin Park","277","97","2","174","1"
"03-315 Mendenhall Glacier","487","171","1","275","0"
"03-320 Thunder Mountain","434","114","0","304","0"
"03-325 Gustavus","58","36","0","95","0"
"03-330 Haines No. 1","290","125","3","250","1"
"03-335 Haines No. 2","50","23","1","41","0"
"03-340 Klukwan","17","12","0","16","0"
"03-345 Skagway","128","86","0","136","0"
"04-100 Douglas","209","115","4","243","0"
"04-105 Juneau Airport Area","151","38","5","97","2"
"04-110 Juneau No. 1","223","94","5","204","1"
"04-115 Juneau No. 2","168","119","3","276","0"
"04-120 Juneau No. 3","126","54","2","115","2"
"04-125 Lemon Creek","241","77","5","163","2"
"04-130 Glacier Valley Area","219","85","2","109","1"
"04-135 North Douglas","202","90","1","197","0"
"05-800 Chiniak","9","6","0","23","0"
"05-810 Flats","212","84","8","123","1"
"05-815 Kodiak Island South","11","1","0","5","0"
"05-820 Kodiak No. 1","244","90","7","169","0"
"05-825 Kodiak No. 2","235","75","14","170","1"
"05-830 Mission Road","637","166","10","348","0"
"05-835 Old Harbor","11","4","1","11","0"
"05-840 Ouzinkie","11","6","0","32","0"
"05-845 Port Lions","22","5","2","24","0"
"05-860 Cordova","247","88","3","176","1"
"05-865 Seward-Lowell Point","279","93","10","176","1"
"05-870 Tatitlek","4","3","1","9","0"
"06-200 Anchor Point","544","119","1","232","1"
"06-210 Diamond Ridge","240","92","3","151","0"
"06-220 Fox River","179","35","1","71","0"
"06-230 Homer No. 1","345","133","5","252","1"
"06-240 Homer No. 2","337","111","1","209","0"
"06-250 Kachemak-Fritz Creek","383","136","4","267","0"
"06-260 Kasilof","669","169","6","326","3"
"06-270 Ninilchik","316","87","5","168","4"
"06-280 Seldovia-Kachemak Bay","73","28","0","69","0"
"07-005 Central","502","89","1","215","2"
"07-010 K Beach","667","114","4","263","1"
"07-015 Kenai No. 1","531","118","1","222","1"
"07-020 Kenai No. 2","306","60","1","134","0"
"07-025 Kenai No. 3","280","43","0","105","0"
"07-030 Soldotna","561","120","4","260","3"
"08-035 Bear Creek","344","112","10","170","0"
"08-040 Cooper Landing","74","28","1","38","0"
"08-045 Funny River No. 1","233","53","6","103","1"
"08-050 Funny River No. 2","245","55","6","79","0"
"08-055 Hope","24","17","0","23","0"
"08-060 Mackey Lake","429","70","6","165","0"
"08-065 Moose Pass","65","25","0","48","0"
"08-070 Nikiski","572","83","17","176","2"
"08-075 Salamatof","623","99","14","163","1"
"08-080 Sterling No. 1","512","83","9","166","1"
"08-085 Sterling No. 2","570","95","6","207","0"
"09-105 Girdwood","244","205","5","260","0"
"09-110 Indian","56","24","3","40","0"
"09-115 South Anchorage No. 1","681","163","9","250","0"
"09-120 South Anchorage No. 2","807","154","6","225","1"
"09-125 South Anchorage No. 3","671","146","9","249","0"
"09-130 South Anchorage No. 4","739","147","4","246","0"
"09-135 South Anchorage No. 5","290","72","3","118","0"
"09-140 Stuckagain Heights","85","20","2","45","0"
"09-145 Whittier","48","10","2","34","0"
"10-150 Dimond","304","133","4","195","1"
"10-155 Oceanview No. 1","524","147","4","251","1"
"10-160 Oceanview No. 2","396","99","6","199","3"
"10-165 Oceanview No. 3","495","152","3","254","3"
