"1","Cunningham","Cunningham","Cunningham","Wielechowski","Wielechowski","Wielechowski","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Wielechowski","Write-in","","Cunningham","Write-in","","Cunningham","Wielechowski","",""
"21-705 East Anchorage No. 1","244","49","2","319","109","12","1","0","0","13","0"
"21-710 East Anchorage No. 2","349","71","11","218","114","2","1","0","0","20","0"
"21-715 East Anchorage No. 3","368","107","12","321","179","4","2","0","0","24","1"
"21-720 East Anchorage No. 4","319","63","9","331","98","2","0","0","0","18","1"
"21-725 East Anchorage No. 5","462","83","7","402","164","7","0","0","0","26","0"
"22-750 Northeast Anchorage No. 1","226","60","6","253","134","3","1","1","1","19","0"
"22-755 Northeast Anchorage No. 2","208","62","2","233","125","2","0","3","0","14","0"
"22-760 Northeast Anchorage No. 3","268","65","2","305","135","9","1","0","0","16","0"
"22-765 Northeast Anchorage No. 4","147","50","1","167","90","2","1","2","0","13","1"
"District 21 - Absentee","449","77","4","931","224","15","11","1","0","53","0"
"District 21 - Early Voting","256","47","12","391","134","10","1","0","0","12","1"
"District 21  - Question","15","5","0","12","2","1","0","0","0","104","0"
"District 22 - Absentee","177","40","6","408","100","7","2","0","1","41","0"
"District 22 - Early Voting","129","27","6","201","70","2","2","0","1","5","1"
"District 22  - Question","8","6","1","16","12","0","2","0","0","64","1"
"Total","3625","812","81","4508","1690","78","25","7","3","442","6"
