"1","Murkowski","Tshibaka","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","269","190","16","24","0"
"01-610 Ketchikan No. 2","436","243","25","35","0"
"01-620 Ketchikan No. 3","255","244","8","32","3"
"01-640 North Tongass No. 1","149","209","6","14","0"
"01-650 North Tongass No. 2","312","373","15","41","1"
"01-660 Saxman","76","22","5","11","0"
"01-670 South Tongass","309","293","18","28","1"
"01-675 Coffman Cove","25","47","5","9","1"
"01-680 Metlakatla","286","70","15","36","0"
"01-690 Wrangell","283","354","15","32","1"
"02-700 Angoon","104","15","0","13","0"
"02-705 Craig","151","155","6","21","0"
"02-720 Hoonah","140","97","1","15","0"
"02-725 Hydaburg","54","7","2","6","0"
"02-730 Kake","77","21","3","23","0"
"02-735 Kasaan","11","15","1","1","0"
"02-740 Klawock","129","141","3","8","0"
"02-750 Pelican-Elfin Cove","19","17","0","2","0"
"02-755 Petersburg-Kupreanof","400","407","8","46","0"
"02-760 Port Alexander","12","3","0","0","0"
"02-765 Sitka No. 1","674","350","14","35","3"
"02-770 Sitka No. 2","714","305","9","44","0"
"02-775 Tenakee Springs","38","5","0","1","0"
"02-780 Thorne Bay","39","113","2","7","0"
"02-785 Yakutat","124","43","3","10","0"
"03-300 Auke Bay","344","182","5","13","0"
"03-305 Lynn Canal","311","151","2","10","0"
"03-310 Melvin Park","338","195","4","14","0"
"03-315 Mendenhall Glacier","522","383","1","28","0"
"03-320 Thunder Mountain","467","341","6","37","1"
"03-325 Gustavus","127","56","0","6","0"
"03-330 Haines No. 1","394","245","5","25","0"
"03-335 Haines No. 2","60","52","1","2","0"
"03-340 Klukwan","39","4","0","2","0"
"03-345 Skagway","260","70","4","16","0"
"04-100 Douglas","423","100","14","33","1"
"04-105 Juneau Airport Area","129","137","5","22","0"
"04-110 Juneau No. 1","361","119","13","34","0"
"04-115 Juneau No. 2","479","63","6","18","0"
"04-120 Juneau No. 3","205","70","4","20","0"
"04-125 Lemon Creek","273","166","20","27","2"
"04-130 Glacier Valley Area","221","168","10","16","1"
"04-135 North Douglas","346","108","10","26","0"
"05-800 Chiniak","23","11","0","4","0"
"05-810 Flats","212","181","11","24","0"
"05-815 Kodiak Island South","11","6","0","0","0"
"05-820 Kodiak No. 1","287","190","16","16","1"
"05-825 Kodiak No. 2","281","173","16","25","0"
"05-830 Mission Road","586","523","20","31","1"
"05-835 Old Harbor","22","3","0","2","0"
"05-840 Ouzinkie","40","5","0","4","0"
"05-845 Port Lions","20","30","2","1","0"
"05-860 Cordova","342","153","1","18","1"
