"1","Kelley","Murkowski","Blank","Exhausted","Overvote"
"37-719 Goodnews Bay","5","44","0","0","0"
"37-720 King Cove","19","71","4","18","0"
"37-722 King Salmon","23","55","3","20","0"
"37-724 Koliganek","1","43","1","12","0"
"37-726 Lake Iliamna No. 1","26","59","2","13","0"
"37-728 Lake Iliamna No. 2","7","49","0","3","1"
"37-730 Levelock","0","9","0","0","0"
"37-731 Lower Kalskag","12","38","1","0","0"
"37-732 Manokotak","7","67","2","4","0"
"37-734 Naknek","24","82","1","25","0"
"37-736 New Stuyahok","3","137","4","1","3"
"37-738 Nondalton","7","27","1","4","1"
"37-740 Pedro Bay","1","5","0","2","0"
"37-742 Port Heiden","5","18","0","0","0"
"37-744 Sand Point","23","48","3","22","1"
"37-746 Sleetmute","1","25","0","0","0"
"37-748 South Naknek","0","19","0","0","0"
"37-752 St. Paul Island","7","80","2","8","0"
"37-754 Togiak","16","99","4","7","2"
"37-756 Tyonek","0","20","0","5","0"
"37-758 Upper Kalskag","4","41","1","2","1"
"38-800 Akiachak","8","97","8","18","0"
"38-802 Akiak","14","89","5","11","0"
"38-806 Atmautluak","7","38","0","0","1"
"38-808 Bethel No. 1","55","392","4","54","3"
"38-810 Bethel No. 2","65","439","4","70","0"
"38-812 Chefornak","7","78","1","8","0"
"38-813 Chevak","8","124","1","10","1"
"38-818 Eek","4","74","0","2","0"
"38-822 Kasigluk","6","64","0","3","0"
"38-824 Kipnuk","8","106","1","7","4"
"38-826 Kongiganak","12","72","2","0","0"
"38-828 Kwethluk","10","138","0","9","1"
"38-830 Kwigillingok","9","38","1","8","0"
"38-836 Mekoryuk","4","56","0","4","0"
"38-838 Napakiak","3","73","1","0","0"
"38-840 Napaskiak","7","88","0","3","1"
"38-842 Newtok","3","23","2","1","0"
"38-844 Nightmute","3","37","1","2","0"
"38-846 Nunapitchuk","16","82","2","12","1"
"38-848 Quinhagak","7","112","2","8","1"
"38-852 Toksook Bay","16","125","4","7","1"
"38-854 Tuluksak","11","47","1","1","0"
"38-856 Tuntutuliak","13","110","3","5","0"
"38-858 Tununak","6","68","5","3","0"
"39-900 Alakanuk","7","86","0","6","0"
"39-902 Brevig Mission","5","109","1","9","1"
"39-906 Diomede","2","8","0","0","2"
"39-908 Elim","15","56","0","6","0"
"39-910 Emmonak","5","119","3","11","0"
"39-912 Gambell","12","115","1","12","2"
"39-914 Golovin","2","34","0","6","0"
"39-916 Hooper Bay","9","144","1","7","0"
"39-918 Kotlik","7","75","1","3","2"
"39-920 Koyuk","6","60","2","11","1"
"39-921 Marshall","10","82","1","4","0"
"39-922 Mountain Village","11","94","1","9","0"
"39-924 Nome No. 1","40","245","1","30","2"
"39-926 Nome No. 2","53","395","2","54","2"
"39-928 Nunam Iqua","4","25","0","1","0"
"39-930 Pilot Station","7","72","2","2","1"
"39-931 Russian Mission","5","61","1","7","1"
"39-932 Savoonga","12","128","0","4","1"
"39-934 Scammon Bay","9","100","0","1","2"
"39-936 Shaktoolik","4","48","0","4","0"
"39-938 Shishmaref","11","164","3","5","0"
"39-940 St. Mary's","8","106","1","6","0"
"39-942 St. Michael","8","58","1","5","1"
"39-944 Stebbins","1","81","1","0","0"
"39-946 Teller","1","34","0","2","0"
"39-948 Unalakleet","16","175","1","14","0"
"39-950 Wales","1","19","0","0","0"
"39-952 White Mountain","1","54","1","5","0"
"40-004 Anaktuvuk Pass","7","33","6","8","0"
"40-006 Atqasuk","2","24","1","3","1"
"40-008 Utqiagvik","21","144","5","35","0"
"40-010 Browerville","82","346","19","71","2"
"40-012 Buckland","7","61","5","5","0"
"40-014 Deering","7","19","2","4","0"
"40-016 Kaktovik","14","39","4","18","0"
"40-020 Kivalina","11","49","0","7","0"
"40-024 Kotzebue","64","369","18","63","1"
"40-026 Noatak","14","67","8","12","1"
"40-030 Nuiqsut","5","30","3","8","0"
"40-032 Point Hope","15","57","6","12","0"
"40-034 Point Lay","7","18","0","4","0"
"40-036 Selawik","10","55","3","12","1"
"40-038 Shungnak","7","53","2","3","1"
"40-040 Wainwright","12","71","8","10","0"
"District 1 - Absentee","332","1035","30","343","8"
"District 1 - Early Voting","2","11","0","1","0"
"District 1  - Question","77","152","8","46","1"
"District 10 - Absentee","221","1112","12","264","3"
"District 10 - Early Voting","142","532","8","139","1"
"District 10  - Question","31","68","2","23","0"
"District 11 - Absentee","237","1432","7","307","3"
"District 11 - Early Voting","161","723","3","190","1"
"District 11  - Question","30","113","1","32","0"
"District 12 - Absentee","189","1019","21","210","3"
"District 12 - Early Voting","144","543","16","147","3"
"District 12  - Question","28","81","5","31","2"
"District 13 - Absentee","149","859","19","158","4"
"District 13 - Early Voting","122","469","14","120","5"
"District 13  - Question","28","72","1","27","2"
"District 14 - Absentee","112","1145","5","150","4"
"District 14 - Early Voting","141","779","7","121","1"
"District 14  - Question","55","156","7","50","1"
"District 15 - Absentee","216","1304","5","227","2"
"District 15 - Early Voting","156","636","2","162","0"
"District 15  - Question","45","110","2","39","0"
"District 16 - Absentee","171","1354","35","243","7"
"District 16 - Early Voting","125","821","26","178","3"
"District 16  - Question","31","98","4","40","1"
"District 17 - Absentee","125","1346","14","191","1"
"District 17 - Early Voting","152","1202","20","172","5"
"District 17  - Question","39","156","5","31","2"
"District 18 - Absentee","158","457","4","103","3"
"District 18 - Early Voting","39","203","4","43","0"
"District 18  - Question","9","44","1","19","1"
"District 19 - Absentee","92","653","3","90","2"
"District 19 - Early Voting","37","363","0","43","2"
"District 19  - Question","29","109","5","29","2"
"District 2 - Absentee","370","1810","10","517","3"
"District 2 - Early Voting","8","37","0","6","0"
"District 2  - Question","23","81","3","32","0"
"District 20 - Absentee","142","896","20","191","3"
"District 20 - Early Voting","104","446","13","119","4"
"District 20  - Question","43","130","5","32","2"
"District 21 - Absentee","219","1263","19","261","3"
"District 21 - Early Voting","167","565","15","114","3"
"District 21  - Question","32","76","4","26","1"
"District 22 - Absentee","127","527","6","120","2"
"District 22 - Early Voting","84","285","5","69","1"
"District 22  - Question","18","72","4","14","2"
"District 23 - Absentee","341","1262","9","356","1"
"District 23 - Early Voting","276","805","2","298","1"
"District 23  - Question","29","81","0","34","1"
"District 24 - Absentee","328","804","15","287","2"
"District 24 - Early Voting","321","623","15","299","4"
"District 24  - Question","54","97","5","57","1"
"District 25 - Absentee","229","615","20","273","12"
"District 25 - Early Voting","415","903","37","418","6"
"District 25  - Question","78","98","20","72","1"
"District 26 - Absentee","261","402","4","244","4"
"District 26 - Early Voting","461","522","4","429","2"
"District 26  - Question","78","76","4","73","3"
"District 27 - Absentee","213","410","6","223","5"
"District 27 - Early Voting","468","544","7","487","8"
"District 27  - Question","96","62","2","71","3"
"District 28 - Absentee","244","438","11","229","5"
"District 28 - Early Voting","510","569","18","469","5"
"District 28  - Question","100","67","5","71","2"
"District 29 - Absentee","346","686","28","295","9"
"District 29 - Early Voting","457","591","33","368","7"
"District 29  - Question","56","87","13","65","3"
"District 3 - Absentee","184","1362","9","231","4"
"District 3 - Early Voting","255","1547","6","261","3"
"District 3  - Question","35","141","2","40","1"
"District 30 - Early Voting - 1","225","262","2","192","1"
"District 30 - Early Voting - 2","4","20","0","1","0"
"District 30 - Question - 1","66","56","2","62","2"
"District 30 - Question - 2","20","14","0","15","0"
"District 31 - Absentee","144","540","6","111","2"
"District 31 - Early Voting","148","721","1","147","4"
"District 31  - Question","28","77","3","25","1"
"District 32 - Absentee","142","254","7","81","4"
"District 32 - Early Voting","113","232","10","98","0"
"District 32  - Question","53","43","0","16","0"
"District 33 - Absentee","244","337","5","174","4"
"District 33 - Early Voting","213","305","16","127","3"
"District 33  - Question","66","55","2","34","4"
"District 34 - Absentee","253","754","7","184","2"
"District 34 - Early Voting","295","871","2","217","3"
"District 34  - Question","74","91","3","51","2"
"District 35 - Absentee","167","816","2","162","1"
"District 35 - Early Voting","199","1124","3","182","2"
"District 35  - Question","43","110","5","33","0"
"District 36 - Early Voting - 1","11","26","1","11","1"
"District 36 - Early Voting - 2","78","287","8","71","0"
"District 36 - Question - 1","17","31","1","13","0"
"District 36 - Question - 2","38","99","7","50","3"
"District 37 - Early Voting - 1 ","13","43","5","10","2"
"District 37  - Question - 1","16","47","4","12","1"
"District 37  - Question - 2","0","7","1","1","0"
"District 38 - Absentee","30","293","8","24","1"
"District 38 - Early Voting","6","47","0","1","0"
"District 38  - Question","23","128","6","13","3"
"District 39 - Early Voting - 1","27","160","0","20","1"
"District 39 - Early Voting - 2","0","16","0","1","0"
"District 39  - Question - 1","8","44","1","7","2"
"District 39  - Question - 2","3","17","0","6","1"
"District 4 - Absentee","121","1053","37","180","3"
"District 4 - Early Voting","238","1778","64","281","5"
"District 4  - Question","42","209","10","36","6"
"District 40 - Absentee","19","173","9","32","4"
"District 40 - Early Voting","8","23","1","6","0"
"District 40  - Question","24","63","6","16","0"
"District 5 - Absentee","317","1255","28","312","5"
"District 5 - Early Voting","5","28","1","3","0"
"District 5  - Question","39","89","5","33","0"
"District 6 - Absentee","388","1189","12","414","4"
"District 6 - Early Voting","322","1220","13","319","2"
"District 6  - Question","64","74","2","48","0"
"District 7 - Absentee","417","874","10","529","7"
"District 7 - Early Voting","191","412","0","266","1"
"District 7  - Question","26","55","0","46","1"
"District 8 - Absentee","545","811","22","576","12"
"District 8 - Early Voting","281","312","12","296","1"
"District 8  - Question","41","21","1","32","1"
"District 9 - Absentee","282","1897","27","363","2"
"District 9 - Early Voting","239","967","13","223","3"
"District 9  - Question","36","115","2","42","0"
"HD99 Fed Overseas Absentee","6","77","0","21","0"
"House District 30 - Judicial District 3","402","813","9","388","2"
"House District 30 - Judicial District 4","55","187","1","56","2"
"House District 36 - Judicial District 3","124","210","9","113","4"
"House District 36 - Judicial District 4","306","547","15","302","5"
"House District 37 - Judicial District 3","105","485","12","125","7"
"House District 37 - Judicial District 4","3","18","0","4","0"
"House District 39 - Judicial District 2","22","135","1","15","1"
"House District 39 - Judicial District 4","4","38","0","1","0"
"Total","57676","148466","3273","56730","652"
