"1","Herndon","Herndon","Herndon","Herndon","Tobin","Tobin","Tobin","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Overvote","Tobin","Write-in","","Herndon","Write-in","","Herndon","Tobin","",""
"17-505 Downtown Anchorage No. 1","98","0","20","3","144","58","1","5","0","0","43","0"
"17-510 Downtown Anchorage No. 2","101","0","26","0","270","75","3","5","0","0","58","0"
"17-515 Downtown Anchorage No. 3","94","0","22","1","152","45","1","1","0","0","47","0"
"17-520 Downtown Anchorage No. 4","130","0","46","5","235","122","3","5","0","0","68","1"
"17-525 Downtown Anchorage No. 5","100","0","43","0","146","84","2","1","0","1","46","0"
"17-530 Downtown Anchorage No. 6","61","0","24","0","128","48","1","2","1","0","31","1"
"17-535 Downtown Anchorage No. 7","81","1","47","2","151","69","4","3","2","1","35","0"
"18-550 Government Hill","73","0","25","3","132","60","1","3","1","1","44","0"
"18-555 JBER","163","0","69","5","91","76","3","9","2","0","65","0"
"18-560 North Muldoon","65","0","50","0","86","62","1","3","0","0","29","0"
"18-565 Ship Creek","19","0","9","2","32","15","0","0","0","0","10","0"
"District 17 - Absentee","203","0","94","7","864","246","11","15","5","4","226","2"
"District 17 - Early Voting","271","0","101","9","788","224","9","13","3","1","131","1"
"District 17  - Question","15","0","13","0","22","13","0","5","0","1","164","0"
"District 18 - Absentee","185","0","68","7","240","123","4","6","2","0","89","1"
"District 18 - Early Voting","64","0","21","1","107","65","2","4","0","0","25","0"
"District 18  - Question","2","0","0","0","0","1","0","0","0","0","71","0"
"Total","1725","1","678","45","3588","1386","46","80","16","9","1182","6"
