"1","Bennett","Bennett","Bennett","Bennett","Bennett","Bennett","Bennett","Bennett","Bennett","Bennett","Bennett","Myers","Myers","Myers","Myers","Myers","Myers","Myers","Myers","Myers","Myers","Myers","Myers","Overvote","Serkov","Serkov","Serkov","Serkov","Serkov","Serkov","Serkov","Serkov","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Myers","Myers","Myers","Overvote","Serkov","Serkov","Serkov","Write-in","Write-in","Write-in","","Bennett","Bennett","Bennett","Overvote","Serkov","Serkov","Serkov","Serkov","Write-in","Write-in","Write-in","","","Bennett","Bennett","Bennett","Bennett","Myers","Myers","Myers","","Bennett","Bennett","Bennett","Myers","Myers","Myers","Serkov","Serkov","Serkov",""
"3","","","Serkov","Write-in","","","Myers","Write-in","","Myers","Serkov","","","Serkov","Write-in","","","Bennett","Overvote","Write-in","","Bennett","Serkov","","","","Myers","Overvote","Write-in","","Bennett","Write-in","","","Myers","Serkov","","Bennett","Serkov","","Bennett","Myers",""
"33-130 Badger No. 1","87","18","20","0","0","28","38","0","0","0","0","453","13","70","0","0","39","45","0","1","3","0","1","0","30","12","23","0","0","6","11","0","1","0","1","0","1","1","0","0","0","0","67"
"33-135 Chena Lakes","60","14","16","0","0","17","23","0","0","0","0","532","13","54","0","0","30","55","1","0","5","0","0","0","24","9","17","0","1","10","7","0","0","0","0","1","2","1","0","0","0","0","60"
"33-155 Moose Creek","7","4","1","0","0","1","9","0","0","0","0","64","2","3","0","0","7","3","0","0","2","0","0","0","3","1","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","5"
"33-165 Newby","96","8","20","0","0","21","36","1","0","0","1","582","25","71","0","2","36","88","0","0","5","1","0","1","24","13","25","0","0","8","9","0","0","0","0","0","1","0","0","0","0","0","66"
"33-175 North Pole","40","4","11","0","0","12","21","0","0","0","0","270","13","38","1","0","17","31","0","0","2","0","0","0","9","7","16","0","0","2","5","0","0","0","0","0","1","0","1","0","0","0","33"
"33-183 Plack","53","7","14","0","1","9","21","0","0","0","0","517","23","86","0","0","40","54","0","1","1","2","0","0","29","14","10","0","0","5","15","0","1","0","0","0","0","0","1","0","0","0","52"
"34-235 Eielson","8","3","5","0","0","2","9","0","1","0","0","76","2","17","0","0","8","24","0","1","0","0","0","0","5","2","4","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","11"
"34-238 Eielson Farm Road","8","0","0","0","0","2","3","0","0","0","0","26","1","3","0","0","8","2","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"34-240 Farmers Loop","291","32","39","0","1","49","42","0","2","3","1","233","18","26","0","0","34","25","0","0","1","0","1","0","8","6","15","0","1","1","5","0","1","0","0","0","0","0","0","0","0","0","44"
"34-260 Salcha","45","5","9","0","0","6","12","0","0","0","1","232","18","30","0","0","13","29","0","0","0","0","0","0","4","2","5","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","10"
"34-263 Steele Creek","165","32","30","0","0","30","39","0","1","0","2","438","27","58","1","0","49","43","0","3","5","0","0","1","11","8","8","0","0","4","11","0","2","0","0","0","0","0","1","0","0","1","36"
"34-265 Steese","179","30","38","0","0","34","35","1","2","0","0","416","41","52","0","0","50","47","0","2","3","0","0","1","21","7","11","1","0","6","5","0","1","0","0","0","0","0","0","0","0","0","55"
"34-270 Summit","148","18","35","0","0","24","37","0","0","0","0","310","14","54","1","0","42","53","0","0","1","1","0","0","14","7","13","1","0","3","10","1","1","0","0","0","0","0","0","1","0","0","28"
"34-280 Two Rivers","66","4","17","0","0","15","15","1","1","0","0","209","12","25","0","0","29","21","0","0","1","0","0","0","14","4","7","0","1","5","6","0","0","0","0","0","0","0","0","0","0","0","21"
"District 33 - Absentee","139","19","25","0","0","25","28","5","2","0","0","294","21","47","0","0","15","30","0","1","2","0","0","1","13","5","8","0","0","4","6","2","17","1","0","0","3","2","1","0","0","0","48"
"District 33 - Early Voting","110","12","11","0","0","19","31","1","0","0","0","260","13","44","0","0","24","31","0","0","3","1","0","1","18","8","20","0","0","3","3","0","6","0","0","0","0","2","0","0","0","0","43"
"District 33  - Question","7","2","1","0","0","0","5","0","0","0","0","42","3","5","0","1","5","10","0","0","1","1","0","1","4","0","3","0","0","1","0","0","6","0","0","0","1","0","0","0","0","0","62"
"District 34 - Absentee","372","49","34","0","0","46","44","4","2","1","4","336","31","45","1","1","42","38","0","6","1","1","0","0","15","7","8","0","1","5","8","0","5","0","0","0","0","1","0","0","1","0","91"
"District 34 - Early Voting","445","48","52","2","0","81","69","0","5","1","1","384","31","51","0","0","51","42","0","2","6","0","0","1","18","10","11","0","0","3","6","1","3","0","1","1","0","0","0","0","0","0","62"
"District 34  - Question","8","4","5","0","0","1","6","0","0","0","1","54","0","5","0","1","4","8","0","0","0","0","0","0","2","2","1","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","114"
"Total","2334","313","383","2","2","422","523","13","16","5","11","5728","321","784","4","5","543","679","1","17","42","7","2","7","267","126","206","2","5","76","115","4","45","1","2","2","10","7","4","1","1","1","910"
