"1","Foster","Foster","Foster","Ivanoff","Ivanoff","Ivanoff","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Ivanoff","Write-in","","Foster","Write-in","","Foster","Ivanoff","",""
"39-900 Alakanuk","29","36","0","7","23","0","0","0","1","3","0"
"39-902 Brevig Mission","14","17","1","45","41","0","0","0","1","5","1"
"39-906 Diomede","4","6","0","0","1","0","0","0","0","1","0"
"39-908 Elim","7","7","0","26","33","1","0","0","2","1","0"
"39-910 Emmonak","48","34","0","31","17","0","0","0","0","7","1"
"39-912 Gambell","34","20","0","40","40","0","0","0","0","7","1"
"39-914 Golovin","7","9","0","11","14","0","0","0","0","1","0"
"39-916 Hooper Bay","37","31","0","49","35","0","1","1","0","6","1"
"39-918 Kotlik","21","34","0","7","24","0","0","0","0","1","1"
"39-920 Koyuk","17","18","0","23","18","0","0","0","0","4","0"
"39-921 Marshall","20","33","1","10","29","0","0","0","0","4","0"
"39-922 Mountain Village","30","42","0","15","26","0","0","0","0","2","0"
"39-924 Nome No. 1","94","90","1","66","59","3","2","0","0","3","0"
"39-926 Nome No. 2","174","136","3","87","92","3","2","0","0","8","1"
"39-928 Nunam Iqua","9","7","0","6","7","1","0","0","0","0","0"
"39-930 Pilot Station","15","42","0","14","10","0","1","0","0","2","0"
"39-931 Russian Mission","21","15","1","18","15","0","0","0","0","5","0"
"39-932 Savoonga","16","45","0","19","61","1","0","0","1","2","0"
"39-934 Scammon Bay","11","39","0","16","43","0","0","0","2","1","0"
"39-936 Shaktoolik","7","16","0","15","15","0","0","0","0","3","0"
"39-938 Shishmaref","15","13","2","61","79","4","0","0","1","6","2"
"39-940 St. Mary's","27","29","0","35","25","0","0","0","2","3","0"
"39-942 St. Michael","15","20","0","17","20","0","0","0","0","1","0"
"39-944 Stebbins","4","33","0","2","39","1","0","0","0","0","4"
"39-946 Teller","4","9","0","8","16","0","0","0","0","0","0"
"39-948 Unalakleet","33","39","0","54","77","1","0","0","0","2","0"
"39-950 Wales","5","8","0","1","3","2","1","0","0","0","0"
"39-952 White Mountain","23","12","0","8","18","0","0","0","0","0","0"
"District 39 - Early Voting - 1","68","55","1","38","40","2","0","0","1","1","2"
"District 39 - Early Voting - 2","2","9","0","0","5","0","0","0","1","0","0"
"District 39  - Question - 1","3","5","0","9","11","1","0","0","0","33","0"
"District 39  - Question - 2","1","0","0","2","4","0","1","0","0","19","0"
"House District 39 - Judicial District 2","70","37","2","32","24","1","0","1","0","7","0"
"House District 39 - Judicial District 4","11","13","1","2","9","0","1","0","0","6","0"
"Total","896","959","13","774","973","21","9","2","12","144","14"
