"1","Harris/Walz","Trump/Vance","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","456","190","7","7","0"
"16-455 West Anchorage No. 2","442","343","3","9","2"
"16-460 West Anchorage No. 3","572","461","9","11","1"
"16-465 West Anchorage No. 4","251","273","5","7","0"
"16-470 West Anchorage No. 5","404","484","6","16","0"
"16-475 West Anchorage No. 6","360","395","5","8","2"
"16-480 West Anchorage No. 7","275","327","3","13","2"
"17-505 Downtown Anchorage No. 1","203","134","3","7","0"
"17-510 Downtown Anchorage No. 2","344","140","4","6","0"
"17-515 Downtown Anchorage No. 3","217","121","4","4","1"
"17-520 Downtown Anchorage No. 4","391","236","4","4","1"
"17-525 Downtown Anchorage No. 5","266","160","1","5","1"
"17-530 Downtown Anchorage No. 6","185","122","1","3","5"
"17-535 Downtown Anchorage No. 7","262","178","1","5","1"
"18-550 Government Hill","233","178","2","6","0"
"18-555 JBER No.1","221","598","3","10","0"
"18-556 JBER No.2","80","157","0","1","0"
"18-560 North Muldoon","167","171","3","9","1"
"18-565 Ship Creek","50","35","0","1","0"
"19-605 Airport Heights No. 1","459","256","2","5","2"
"19-610 Airport Heights No. 2","327","378","2","15","1"
"19-615 Mountainview No. 1","226","171","0","4","1"
"19-620 Mountainview No. 2","183","191","1","3","2"
"19-625 South Mountainview","221","235","1","4","1"
"20-650 University No. 1","150","118","0","1","1"
"20-655 University No. 2","462","437","4","15","2"
"20-660 University No. 3","489","402","3","18","7"
"20-665 University No. 4","233","183","2","9","0"
"20-670 University No. 5","670","607","11","18","6"
"21-705 East Anchorage No. 1","357","320","4","11","2"
"21-710 East Anchorage No. 2","355","430","2","17","0"
"21-715 East Anchorage No. 3","494","599","7","9","8"
"21-720 East Anchorage No. 4","430","414","2","10","2"
"21-725 East Anchorage No. 5","610","580","4","22","1"
"22-750 Northeast Anchorage No. 1","402","409","3","12","0"
"22-755 Northeast Anchorage No. 2","348","409","0","4","5"
"22-760 Northeast Anchorage No. 3","446","426","5","12","4"
"22-765 Northeast Anchorage No. 4","252","304","4","5","9"
"23-805 Chugach Park No. 1","402","628","5","31","0"
"23-810 Eagle River No. 1","232","381","5","13","1"
"23-815 Eagle River No. 2","268","392","7","13","1"
"23-820 Hiland","210","410","2","16","0"
"23-825 Meadow Creek No. 1","282","428","3","9","1"
"23-830 Meadow Creek No. 2","133","278","1","9","2"
"24-850 Chugach Park No. 2","203","455","8","12","1"
"24-855 Chugiak","107","257","1","3","0"
"24-860 Eagle River No. 3","205","398","3","8","0"
"24-865 Eklutna","209","417","1","14","1"
"24-870 Fire Lake","231","482","3","7","2"
"24-875 Peters Creek No. 1","251","710","8","14","0"
"24-880 Peters Creek No. 2","155","365","1","5","0"
"25-305 Butte","293","885","12","17","1"
"25-310 Greater Palmer","161","371","3","6","1"
"25-315 Lazy Mountain","213","567","3","4","1"
"25-320 Palmer City No. 1","181","356","3","11","0"
"25-325 Palmer City No. 2","197","349","2","13","1"
"25-330 Springer Loop","186","548","5","12","0"
"25-335 Walby","146","506","7","11","0"
"26-350 Fairview No. 1","83","409","1","5","0"
"26-355 Fairview No. 2","100","288","1","3","2"
"26-360 Knik Goose Bay No. 1","206","948","6","15","1"
"26-365 Knik Goose Bay No. 2","163","610","3","7","0"
"26-370 Knik Goose Bay No. 3","104","401","1","4","0"
"26-375 Mat-Su Campus","172","447","5","7","2"
"26-380 Snowshoe","194","779","0","14","0"
"27-405 Foothills","128","575","4","8","1"
"27-410 Meadow Lakes No. 1","183","867","3","13","1"
"27-415 Meadow Lakes No. 2","150","721","7","18","0"
"27-420 Wasilla No. 1","165","562","6","7","2"
"27-425 Wasilla No. 2","195","730","8","9","1"
"28-450 Lakes No. 1","135","442","4","9","0"
"28-455 Lakes No. 2","95","301","4","6","0"
"28-460 Seldon No. 1","162","775","3","13","0"
"28-465 Seldon No. 2","234","681","7","26","2"
"28-470 Seward Meridian","95","297","4","7","0"
"28-475 Trunk","222","523","6","7","1"
"28-480 Wasilla Lake","88","298","1","8","0"
"29-505 Farm Loop","192","764","4","16","1"
"29-510 Fishhook","347","1026","8","17","0"
"29-515 Kings Lake","181","692","3","8","1"
"29-520 Lakes No. 3","83","267","1","2","0"
"29-525 Sheep Mountain","24","122","1","2","1"
"29-530 Sutton","131","367","2","4","0"
"29-535 Valdez No. 1","158","309","3","5","0"
"29-540 Valdez No. 2","86","133","1","4","0"
"29-545 Valdez No. 3","117","249","4","8","1"
"30-550 Anderson/Clear","27","109","0","1","0"
"30-555 Big Lake","198","967","8","15","6"
"30-560 Cantwell","39","43","1","3","0"
"30-565 Denali Park","58","12","0","2","0"
"30-570 East Schrock","17","73","0","0","0"
"30-575 Healy","111","258","1","4","0"
"30-580 Houston","96","422","0","5","2"
"30-585 Knik Goose Bay No. 4","220","882","6","7","0"
"30-590 Trapper Creek","29","83","1","6","0"
"30-595 Susitna","121","368","3","5","0"
"30-600 Talkeetna","146","105","3","6","0"
"30-605 Willow","227","751","5","12","1"
"31-446 Aurora","387","487","5","13","0"
"31-455 Fairbanks No. 1","457","450","7","24","3"
"31-480 Fairbanks No. 2","405","482","12","13","2"
"31-485 Fairbanks No. 3","390","465","3","11","5"
"32-355 Fairbanks No. 4","328","459","4","11","2"
"32-365 Fairbanks No. 5","258","323","3","3","2"
"32-375 Fort Wainwright","100","274","0","2","1"
"32-385 Badger No. 2","284","877","6","13","0"
"33-130 Badger No. 1","286","872","4","19","2"
"33-135 Chena Lakes","199","969","6","4","1"
"33-155 Moose Creek","34","112","1","1","0"
"33-165 Newby","244","985","9","11","0"
"33-175 North Pole","165","562","2","8","1"
"33-183 Plack","175","951","0","12","0"
"34-235 Eielson","81","250","0","0","1"
"34-238 Eielson Farm Road","9","48","0","1","0"
"34-240 Farmers Loop","468","419","7","17","0"
"34-260 Salcha","98","430","2","5","1"
"34-263 Steele Creek","344","688","3","12","2"
"34-265 Steese","373","630","8","12","4"
"34-270 Summit","314","536","11","17","2"
"34-280 Two Rivers","133","364","3","3","0"
"35-580 Airport","115","213","3","3","1"
"35-582 Chena","652","746","10","22","2"
"35-584 Ester","332","226","2","5","2"
"35-586 Geist","266","305","1","8","0"
"35-587 Lakeview","37","86","0","0","0"
"35-592 Shanly","227","199","2","4","0"
"35-595 University Hills","363","243","8","6","0"
"35-596 University West","609","660","11","11","0"
"36-001 Goldstream No. 1","315","317","7","10","2"
"36-002 Goldstream No. 2","467","284","10","15","2"
"36-010 Allakaket","36","1","1","1","1"
"36-014 Anvik","17","8","0","0","0"
"36-018 Arctic Village","49","3","0","1","0"
"36-022 Beaver","11","4","0","2","0"
"36-026 Bettles","5","5","0","1","0"
"36-034 Central","7","32","0","1","1"
"36-038 Chistochina","13","56","0","0","2"
"36-042 Circle","16","4","0","0","0"
"36-046 Copper Center","97","245","2","9","1"
"36-050 Delta Junction","42","309","2","3","2"
"36-054 Deltana","137","1049","5","7","0"
"36-058 Dot Lake","4","45","0","0","0"
"36-062 Eagle","20","47","1","1","0"
"36-066 Fort Yukon","99","30","2","7","2"
"36-070 Gakona","20","84","4","2","0"
"36-074 Galena","77","65","0","4","0"
"36-078 Glennallen","33","140","1","5","0"
"36-082 Grayling","25","21","2","4","3"
"36-086 Holy Cross","31","9","1","0","0"
"36-090 Hughes","18","8","0","4","0"
"36-094 Huslia","68","20","4","2","1"
"36-098 Kaltag","26","11","1","0","2"
"36-102 Kenny Lake","45","135","0","5","0"
"36-106 Koyukuk","25","2","1","0","1"
"36-110 Manley","10","37","0","0","0"
"36-114 McGrath","26","63","3","2","0"
"36-118 Mentasta","26","13","0","0","0"
"36-122 Minto","23","25","0","3","0"
"36-126 Nenana","103","202","3","4","2"
"36-130 Nikolai","14","8","0","4","1"
"36-134 Northway","24","45","0","0","2"
"36-138 Nulato","57","11","0","9","0"
"36-142 Ruby","18","12","0","0","0"
"36-146 Shageluk","19","3","0","0","1"
"36-162 Tanana","60","15","0","4","0"
"36-166 Tetlin","13","16","0","1","0"
"36-170 Tok","95","415","9","3","0"
"36-174 Venetie","32","12","1","0","0"
"37-700 Akutan","24","24","0","0","1"
"37-702 Aleknagik","19","44","1","3","2"
"37-704 Aleutians No. 1","11","7","1","0","0"
"37-706 Aleutians No. 2","229","291","1","10","3"
"37-707 Aniak","56","43","1","5","2"
"37-708 Chignik","10","5","1","0","0"
"37-709 Chuathbaluk","8","10","0","0","1"
"37-710 Clark's Point","11","8","0","0","0"
"37-712 Cold Bay","6","13","1","0","0"
"37-713 Crooked Creek","14","5","0","0","0"
"37-714 Dillingham","272","264","6","7","1"
"37-716 Egegik","0","10","0","1","0"
"37-718 Ekwok","8","25","0","1","0"
"37-719 Goodnews Bay","36","18","1","1","2"
"37-720 King Cove","22","79","1","6","3"
"37-722 King Salmon","42","80","2","4","0"
"37-724 Koliganek","31","38","0","3","0"
"37-726 Lake Iliamna No. 1","30","73","0","0","0"
"37-728 Lake Iliamna No. 2","28","38","1","9","2"
"37-730 Levelock","15","6","0","2","1"
"37-731 Lower Kalskag","34","26","1","0","0"
"37-732 Manokotak","24","76","0","2","2"
"37-734 Naknek","46","89","1","5","1"
"37-736 New Stuyahok","39","8","1","5","0"
"37-738 Nondalton","25","14","0","0","5"
"37-740 Pedro Bay","3","9","0","2","0"
"37-742 Port Heiden","13","10","0","1","0"
"37-744 Sand Point","35","83","2","3","0"
"37-746 Sleetmute","17","6","0","1","0"
"37-748 South Naknek","7","5","2","3","1"
"37-750 St. George Island","2","3","1","1","0"
"37-752 St. Paul Island","77","22","2","6","0"
"37-754 Togiak","50","80","3","4","12"
"37-756 Tyonek","29","8","0","0","0"
"37-758 Upper Kalskag","32","19","0","3","3"
"38-800 Akiachak","80","69","1","7","4"
"38-802 Akiak","35","36","3","16","0"
"38-806 Atmautluak","22","11","2","8","2"
"38-808 Bethel No. 1","313","252","1","12","3"
"38-810 Bethel No. 2","291","269","3","8","4"
"38-812 Chefornak","71","17","0","7","1"
"38-818 Eek","47","39","1","6","2"
"38-822 Kasigluk","44","14","0","6","1"
"38-824 Kipnuk","49","53","0","6","5"
"38-826 Kongiganak","43","43","3","3","2"
"38-828 Kwethluk","88","37","0","6","2"
"38-830 Kwigillingok","25","49","0","2","5"
"38-836 Mekoryuk","29","33","1","2","4"
"38-838 Napakiak","38","25","2","5","1"
"38-840 Napaskiak","50","16","0","1","1"
"38-842 Newtok","29","20","0","2","5"
"38-844 Nightmute","12","13","2","5","2"
"38-846 Nunapitchuk","47","42","0","8","1"
"38-848 Quinhagak","65","52","1","10","6"
"38-852 Toksook Bay","95","74","3","3","5"
"38-854 Tuluksak","2","1","0","0","0"
"38-856 Tuntutuliak","65","44","0","7","1"
"38-858 Tununak","55","18","0","4","4"
"39-900 Alakanuk","40","34","0","10","3"
"39-902 Brevig Mission","51","38","1","7","5"
"39-906 Diomede","6","3","0","1","0"
"39-908 Elim","37","64","0","2","0"
"39-910 Emmonak","80","49","3","11","5"
"39-912 Gambell","64","67","2","8","5"
"39-914 Golovin","29","20","0","0","0"
"39-916 Hooper Bay","84","66","2","8","7"
"39-918 Kotlik","62","40","0","7","0"
"39-920 Koyuk","37","56","1","2","4"
"39-921 Marshall","35","45","1","3","2"
"39-922 Mountain Village","73","52","1","4","2"
"39-924 Nome No. 1","160","130","2","9","2"
"39-926 Nome No. 2","309","253","0","14","4"
"39-928 Nunam Iqua","22","12","1","2","0"
"39-930 Pilot Station","64","23","0","3","4"
"39-931 Russian Mission","24","24","2","8","1"
"39-932 Savoonga","104","44","1","6","4"
"39-934 Scammon Bay","57","44","0","1","6"
"39-936 Shaktoolik","20","32","2","2","1"
"39-938 Shishmaref","133","37","2","3","0"
"39-940 St. Mary's","84","25","2","5","1"
"39-942 St. Michael","24","33","3","3","2"
"39-944 Stebbins","34","34","0","3","2"
"39-946 Teller","20","14","0","2","0"
"39-948 Unalakleet","123","90","1","4","3"
"39-950 Wales","6","2","0","0","0"
"39-952 White Mountain","45","21","0","3","0"
"40-002 Ambler","18","21","3","0","2"
"40-004 Anaktuvuk Pass","28","26","2","1","1"
"40-006 Atqasuk","8","26","1","1","1"
"40-008 Utqiagvik","112","130","0","7","0"
"40-010 Browerville","292","336","3","12","4"
"40-012 Buckland","38","40","0","4","2"
"40-014 Deering","21","15","0","0","1"
"40-016 Kaktovik","14","57","0","2","0"
"40-018 Kiana","24","28","1","7","0"
"40-020 Kivalina","21","28","1","10","2"
"40-022 Kobuk","21","14","0","2","1"
"40-024 Kotzebue","300","252","6","14","2"
"40-026 Noatak","23","68","2","8","4"
"40-028 Noorvik","32","58","2","4","0"
"40-030 Nuiqsut","19","16","2","3","4"
"40-032 Point Hope","42","68","1","9","0"
"40-034 Point Lay","12","17","0","1","0"
"40-036 Selawik","20","55","0","2","1"
"40-038 Shungnak","30","15","0","1","4"
"40-040 Wainwright","31","93","0","4","1"
"District 1 - Absentee","1348","1639","15","33","8"
"District 1 - Early Voting","13","7","0","0","0"
"District 1  - Question","180","308","2","7","1"
"District 10 - Absentee","1180","737","22","30","3"
"District 10 - Early Voting","725","816","4","10","2"
"District 10  - Question","107","144","2","3","2"
"District 11 - Absentee","1549","946","31","31","2"
"District 11 - Early Voting","833","933","9","7","2"
"District 11  - Question","94","142","0","1","1"
"District 12 - Absentee","1265","692","9","13","4"
"District 12 - Early Voting","818","771","2","8","1"
"District 12  - Question","98","135","3","2","2"
"District 13 - Absentee","1073","558","9","20","0"
"District 13 - Early Voting","652","716","7","14","3"
"District 13  - Question","135","200","2","4","5"
"District 14 - Absentee","1324","495","10","25","7"
"District 14 - Early Voting","991","621","6","12","5"
"District 14  - Question","201","216","3","6","8"
"District 15 - Absentee","1270","831","17","26","1"
"District 15 - Early Voting","818","902","5","17","1"
"District 15  - Question","109","162","3","6","3"
"District 16 - Absentee","1526","684","12","35","1"
"District 16 - Early Voting","1084","731","10","8","4"
"District 16  - Question","118","175","1","5","3"
"District 17 - Absentee","1629","595","12","27","6"
"District 17 - Early Voting","1439","636","4","16","10"
"District 17  - Question","208","166","4","10","11"
"District 18 - Absentee","743","801","5","20","2"
"District 18 - Early Voting","262","239","0","6","1"
"District 18  - Question","223","598","3","7","4"
"District 19 - Absentee","803","313","3","15","10"
"District 19 - Early Voting","530","283","2","13","2"
"District 19  - Question","187","195","3","8","8"
"District 2 - Absentee","2515","2065","25","50","18"
"District 2 - Early Voting","42","33","0","0","1"
"District 2  - Question","110","152","2","3","5"
"District 20 - Absentee","1175","603","6","18","4"
"District 20 - Early Voting","708","577","3","8","4"
"District 20  - Question","169","189","2","8","5"
"District 21 - Absentee","1615","821","7","29","3"
"District 21 - Early Voting","816","707","4","9","5"
"District 21  - Question","183","202","4","5","8"
"District 22 - Absentee","724","474","7","14","6"
"District 22 - Early Voting","455","456","3","6","3"
"District 22  - Question","121","183","3","3","4"
"District 23 - Absentee","1374","1313","15","35","1"
"District 23 - Early Voting","1248","2225","12","31","1"
"District 23  - Question","102","215","0","6","1"
"District 24 - Absentee","910","1100","14","25","1"
"District 24 - Early Voting","1005","2221","12","18","4"
"District 24  - Question","89","233","4","9","0"
"District 25 - Absentee","671","884","13","23","6"
"District 25 - Early Voting","1149","2236","9","30","2"
"District 25  - Question","95","333","2","5","2"
"District 26 - Absentee","462","905","5","11","4"
"District 26 - Early Voting","533","2139","7","16","3"
"District 26  - Question","81","336","2","6","1"
"District 27 - Absentee","411","877","6","17","0"
"District 27 - Early Voting","576","2138","5","17","4"
"District 27  - Question","75","415","2","3","2"
"District 28 - Absentee","489","889","4","11","0"
"District 28 - Early Voting","711","2292","12","29","1"
"District 28  - Question","80","347","2","7","1"
"District 29 - Absentee","780","1205","14","24","4"
"District 29 - Early Voting","635","2134","10","28","5"
"District 29  - Question","88","290","5","2","1"
"District 3 - Absentee","1772","871","8","32","2"
"District 3 - Early Voting","2079","1431","14","35","1"
"District 3  - Question","146","146","1","12","3"
"District 31 - Absentee","585","548","14","17","4"
"District 31 - Early Voting","987","930","10","26","14"
"District 31  - Question","132","189","2","2","3"
"District 32 - Absentee","429","570","5","8","3"
"District 32 - Early Voting","410","673","4","5","2"
"District 32  - Question","167","666","4","4","1"
"District 33 - Absentee","484","754","5","23","1"
"District 33 - Early Voting","442","1232","4","13","2"
"District 33  - Question","65","229","0","7","4"
"District 34 - Absentee","776","755","16","17","4"
"District 34 - Early Voting","1132","1382","7","17","7"
"District 34  - Question","178","493","4","8","0"
"District 35 - Absentee","853","540","5","19","4"
"District 35 - Early Voting","1535","1093","8","29","5"
"District 35  - Question","120","195","1","10","0"
"District 38 - Absentee","342","178","4","9","3"
"District 38 - Early Voting","19","11","0","0","0"
"District 38  - Question","102","158","2","4","4"
"District 4 - Absentee","1281","362","8","16","1"
"District 4 - Early Voting","2725","1067","15","40","9"
"District 4  - Question","210","201","5","8","3"
"District 40 - Absentee","235","196","4","12","2"
"District 40 - Early Voting","26","18","1","0","1"
"District 40  - Question","86","154","2","7","3"
"District 5 - Absentee","1527","1540","28","38","8"
"District 5 - Early Voting","27","34","0","1","0"
"District 5  - Question","98","257","1","8","3"
"District 6 - Absentee","1236","1103","21","28","1"
"District 6 - Early Voting","1858","2141","14","55","1"
"District 6  - Question","93","240","1","6","0"
"District 7 - Absentee","581","1092","8","23","3"
"District 7 - Early Voting","980","2612","20","28","5"
"District 7  - Question","55","239","2","0","1"
"District 8 - Absentee","806","1429","16","17","2"
"District 8 - Early Voting","676","2466","11","22","3"
"District 8  - Question","25","168","1","3","0"
"District 9 - Absentee","2015","1229","31","24","1"
"District 9 - Early Voting","1048","1097","8","8","1"
"District 9  - Question","108","142","1","2","0"
"HD99 Fed Overseas Absentee","343","53","0","5","0"
"House District 30 - Judicial District 3","1215","3092","28","33","12"
"House District 30 - Judicial District 4","290","250","1","1","2"
"House District 36 - Judicial District 3","278","418","7","17","1"
"House District 36 - Judicial District 4","1188","1517","18","33","9"
"House District 37 - Judicial District 3","584","632","6","11","8"
"House District 37 - Judicial District 4","102","90","1","4","2"
"House District 39 - Judicial District 2","429","324","7","10","6"
"House District 39 - Judicial District 4","54","70","0","5","3"
"Total","144831","188641","1888","4508","910"
