"1","Harris/Walz","Sonski/Onak","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","292","32","7","230","0"
"01-610 Ketchikan No. 2","373","40","7","423","3"
"01-620 Ketchikan No. 3","193","11","6","349","2"
"01-640 North Tongass No. 1","123","16","1","273","0"
"01-650 North Tongass No. 2","220","36","1","480","3"
"01-660 Saxman","81","4","0","28","1"
"01-670 South Tongass","233","32","8","356","0"
"01-675 Coffman Cove","23","2","2","82","1"
"01-680 Metlakatla","281","22","7","142","5"
"01-690 Wrangell","213","44","4","415","1"
"02-700 Angoon","77","4","0","32","0"
"02-705 Craig","133","24","3","232","4"
"02-720 Hoonah","123","19","3","116","3"
"02-725 Hydaburg","77","2","0","19","0"
"02-730 Kake","112","14","1","52","2"
"02-735 Kasaan","8","2","0","15","0"
"02-740 Klawock","140","25","0","178","2"
"02-750 Pelican-Elfin Cove","18","1","0","21","0"
"02-755 Petersburg-Kupreanof","309","63","10","460","1"
"02-760 Port Alexander","5","0","0","5","1"
"02-765 Sitka No. 1","472","51","8","432","3"
"02-770 Sitka No. 2","494","50","4","354","3"
"02-775 Tenakee Springs","28","0","1","13","0"
"02-780 Thorne Bay","32","7","0","151","0"
"02-785 Yakutat","124","13","0","86","3"
"03-300 Auke Bay","277","19","3","185","0"
"03-305 Lynn Canal","235","12","6","178","0"
"03-310 Melvin Park","283","41","7","245","0"
"03-315 Mendenhall Glacier","430","59","5","430","0"
"03-320 Thunder Mountain","392","48","3","359","0"
"03-325 Gustavus","112","11","0","66","0"
"03-330 Haines No. 1","302","38","4","302","3"
"03-335 Haines No. 2","52","3","0","54","0"
"03-340 Klukwan","26","2","0","13","0"
"03-345 Skagway","285","21","1","105","0"
"04-100 Douglas","405","15","2","106","1"
"04-105 Juneau Airport Area","130","19","2","148","0"
"04-110 Juneau No. 1","298","18","4","113","0"
"04-115 Juneau No. 2","375","7","1","78","0"
"04-120 Juneau No. 3","174","10","2","71","1"
"04-125 Lemon Creek","323","48","3","196","1"
"04-130 Glacier Valley Area","202","27","2","153","4"
"04-135 North Douglas","314","15","3","113","0"
"05-800 Chiniak","22","1","0","31","0"
"05-810 Flats","187","26","3","344","2"
"05-815 Kodiak Island South","7","0","1","8","1"
"05-820 Kodiak No. 1","295","42","1","309","2"
"05-825 Kodiak No. 2","326","28","1","339","2"
"05-830 Mission Road","530","114","6","757","1"
"05-835 Old Harbor","16","1","0","13","0"
"05-840 Ouzinkie","40","6","0","9","2"
"05-845 Port Lions","13","3","2","49","0"
"05-860 Cordova","233","28","6","216","4"
"05-865 Seward-Lowell Point","239","22","6","214","0"
"05-870 Tatitlek","14","3","0","1","1"
"06-200 Anchor Point","233","53","2","699","4"
"06-210 Diamond Ridge","175","9","2","162","1"
"06-220 Fox River","61","4","1","190","2"
"06-230 Homer No. 1","257","31","2","264","1"
"06-240 Homer No. 2","238","19","1","289","1"
"06-250 Kachemak-Fritz Creek","359","23","4","294","0"
"06-260 Kasilof","260","58","4","765","2"
"06-270 Ninilchik","167","35","1","430","1"
"06-280 Seldovia-Kachemak Bay","75","8","3","75","0"
"07-005 Central","177","66","3","499","2"
"07-010 K Beach","196","76","9","614","6"
"07-015 Kenai No. 1","241","64","1","442","6"
"07-020 Kenai No. 2","118","41","4","283","2"
"07-025 Kenai No. 3","92","27","3","217","3"
"07-030 Soldotna","246","67","6","524","3"
"08-035 Bear Creek","246","40","2","309","0"
"08-040 Cooper Landing","69","5","1","72","0"
"08-045 Funny River No. 1","74","15","3","247","1"
"08-050 Funny River No. 2","51","19","1","203","0"
"08-055 Hope","45","2","0","22","0"
"08-060 Mackey Lake","129","35","6","369","0"
"08-065 Moose Pass","72","7","3","79","0"
"08-070 Nikiski","127","66","2","608","0"
"08-075 Salamatof","126","64","4","572","2"
