"1","Harris/Walz","Terry/Broden","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","467","20","7","166","0"
"16-455 West Anchorage No. 2","474","55","3","264","3"
"16-460 West Anchorage No. 3","605","66","9","371","3"
"16-465 West Anchorage No. 4","265","56","5","210","0"
"16-470 West Anchorage No. 5","420","66","6","416","2"
"16-475 West Anchorage No. 6","373","42","5","348","2"
"16-480 West Anchorage No. 7","299","71","3","245","2"
"17-505 Downtown Anchorage No. 1","208","10","3","126","0"
"17-510 Downtown Anchorage No. 2","352","14","4","124","0"
"17-515 Downtown Anchorage No. 3","226","6","4","109","2"
"17-520 Downtown Anchorage No. 4","410","35","4","185","2"
"17-525 Downtown Anchorage No. 5","273","26","1","132","1"
"17-530 Downtown Anchorage No. 6","195","20","1","95","5"
"17-535 Downtown Anchorage No. 7","279","24","1","142","1"
"18-550 Government Hill","249","20","2","148","0"
"18-555 JBER No.1","239","76","3","514","0"
"18-556 JBER No.2","88","28","0","122","0"
"18-560 North Muldoon","173","21","3","153","1"
"18-565 Ship Creek","51","5","0","30","0"
"19-605 Airport Heights No. 1","477","31","2","212","2"
"19-610 Airport Heights No. 2","340","22","2","358","1"
"19-615 Mountainview No. 1","241","35","0","122","4"
"19-620 Mountainview No. 2","208","26","1","143","2"
"19-625 South Mountainview","235","31","1","194","1"
"20-650 University No. 1","160","18","0","90","2"
"20-655 University No. 2","503","46","4","365","2"
"20-660 University No. 3","516","55","3","337","8"
"20-665 University No. 4","245","26","2","153","1"
"20-670 University No. 5","703","83","11","504","11"
"21-705 East Anchorage No. 1","373","28","4","287","2"
"21-710 East Anchorage No. 2","375","62","2","364","1"
"21-715 East Anchorage No. 3","519","87","7","496","8"
"21-720 East Anchorage No. 4","446","58","2","348","4"
"21-725 East Anchorage No. 5","640","83","4","485","5"
"22-750 Northeast Anchorage No. 1","425","83","3","314","1"
"22-755 Northeast Anchorage No. 2","373","76","0","310","7"
"22-760 Northeast Anchorage No. 3","480","70","5","332","6"
"22-765 Northeast Anchorage No. 4","275","54","4","229","12"
"23-805 Chugach Park No. 1","423","86","5","552","0"
"23-810 Eagle River No. 1","239","60","5","327","1"
"23-815 Eagle River No. 2","299","61","7","312","2"
"23-820 Hiland","229","52","2","355","0"
"23-825 Meadow Creek No. 1","309","59","3","349","3"
"23-830 Meadow Creek No. 2","147","26","1","246","3"
"24-850 Chugach Park No. 2","220","49","8","400","2"
"24-855 Chugiak","116","30","1","221","0"
"24-860 Eagle River No. 3","221","59","3","331","0"
"24-865 Eklutna","217","56","1","366","2"
"24-870 Fire Lake","246","84","3","389","3"
"24-875 Peters Creek No. 1","272","79","8","622","2"
"24-880 Peters Creek No. 2","163","54","1","308","0"
"25-305 Butte","307","110","12","777","2"
"25-310 Greater Palmer","169","41","3","328","1"
"25-315 Lazy Mountain","227","68","3","489","1"
"25-320 Palmer City No. 1","188","39","3","320","1"
"25-325 Palmer City No. 2","214","46","2","299","1"
"25-330 Springer Loop","204","79","5","462","1"
"25-335 Walby","153","84","7","424","2"
"26-350 Fairview No. 1","97","47","1","353","0"
"26-355 Fairview No. 2","103","39","1","249","2"
"26-360 Knik Goose Bay No. 1","226","99","6","844","1"
"26-365 Knik Goose Bay No. 2","171","66","3","543","0"
"26-370 Knik Goose Bay No. 3","114","48","1","346","1"
"26-375 Mat-Su Campus","176","52","5","398","2"
"26-380 Snowshoe","209","92","0","686","0"
"27-405 Foothills","138","74","4","499","1"
"27-410 Meadow Lakes No. 1","191","112","3","760","1"
"27-415 Meadow Lakes No. 2","158","110","7","620","1"
"27-420 Wasilla No. 1","181","78","6","472","5"
"27-425 Wasilla No. 2","204","97","8","633","1"
"28-450 Lakes No. 1","143","65","4","377","1"
"28-455 Lakes No. 2","101","26","4","274","1"
"28-460 Seldon No. 1","171","52","3","726","1"
"28-465 Seldon No. 2","244","102","7","595","2"
"28-470 Seward Meridian","103","41","4","255","0"
"28-475 Trunk","233","78","6","439","3"
"28-480 Wasilla Lake","98","38","1","258","0"
"29-505 Farm Loop","208","99","4","665","1"
"29-510 Fishhook","362","102","8","923","3"
"29-515 Kings Lake","192","80","3","609","1"
"29-520 Lakes No. 3","89","38","1","225","0"
"29-525 Sheep Mountain","24","8","1","116","1"
"29-530 Sutton","141","45","2","316","0"
"29-535 Valdez No. 1","171","36","3","265","0"
"29-540 Valdez No. 2","96","8","1","119","0"
"29-545 Valdez No. 3","126","29","4","218","2"
"30-550 Anderson/Clear","27","9","0","101","0"
"30-555 Big Lake","212","128","8","839","7"
"30-560 Cantwell","43","5","1","37","0"
"30-565 Denali Park","59","0","0","13","0"
"30-570 East Schrock","19","17","0","54","0"
"30-575 Healy","120","47","1","206","0"
"30-580 Houston","107","54","0","362","2"
"30-585 Knik Goose Bay No. 4","230","116","6","763","0"
"30-590 Trapper Creek","31","7","1","79","1"
"30-595 Susitna","127","36","3","331","0"
"30-600 Talkeetna","146","14","3","97","0"
"30-605 Willow","233","85","5","669","4"
"31-446 Aurora","411","61","5","415","0"
"31-455 Fairbanks No. 1","478","51","7","401","4"
"31-480 Fairbanks No. 2","424","72","12","403","3"
"31-485 Fairbanks No. 3","422","88","3","351","10"
"32-355 Fairbanks No. 4","352","76","4","370","2"
"32-365 Fairbanks No. 5","273","43","3","268","2"
"32-375 Fort Wainwright","109","67","0","200","1"
"32-385 Badger No. 2","309","140","6","723","2"
"33-130 Badger No. 1","311","127","4","736","5"
"33-135 Chena Lakes","224","131","6","815","3"
"33-155 Moose Creek","37","10","1","100","0"
"33-165 Newby","271","150","9","819","0"
"33-175 North Pole","177","84","2","474","1"
"33-183 Plack","198","153","0","787","0"
"34-235 Eielson","93","53","0","185","1"
"34-238 Eielson Farm Road","10","2","0","46","0"
"34-240 Farmers Loop","481","49","7","374","0"
"34-260 Salcha","104","61","2","368","1"
"34-263 Steele Creek","363","106","3","572","5"
"34-265 Steese","388","82","8","543","6"
"34-270 Summit","328","91","11","446","4"
"34-280 Two Rivers","139","43","3","318","0"
"35-580 Airport","124","30","3","177","1"
"35-582 Chena","679","90","10","651","2"
"35-584 Ester","335","34","2","194","2"
"35-586 Geist","279","43","1","257","0"
"35-587 Lakeview","39","11","0","73","0"
"35-592 Shanly","237","44","2","149","0"
"35-595 University Hills","363","37","8","212","0"
"35-596 University West","651","107","11","522","0"
"36-001 Goldstream No. 1","324","43","7","275","2"
"36-002 Goldstream No. 2","474","42","10","250","2"
"36-010 Allakaket","36","0","1","2","1"
"36-014 Anvik","19","3","0","3","0"
"36-018 Arctic Village","49","0","0","4","0"
"36-022 Beaver","13","2","0","2","0"
"36-026 Bettles","5","1","0","5","0"
"36-034 Central","7","0","0","33","1"
"36-038 Chistochina","13","2","0","54","2"
"36-042 Circle","16","0","0","4","0"
"36-046 Copper Center","99","32","2","219","2"
"36-050 Delta Junction","44","42","2","268","2"
"36-054 Deltana","149","91","5","951","2"
"36-058 Dot Lake","4","1","0","44","0"
"36-062 Eagle","20","5","1","42","1"
"36-066 Fort Yukon","100","4","2","32","2"
"36-070 Gakona","21","7","4","78","0"
"36-074 Galena","84","15","0","47","0"
"36-078 Glennallen","35","26","1","117","0"
"36-082 Grayling","26","5","2","19","3"
"36-086 Holy Cross","33","1","1","6","0"
"36-090 Hughes","19","0","0","11","0"
"36-094 Huslia","70","3","4","17","1"
"36-098 Kaltag","25","3","1","9","2"
"36-102 Kenny Lake","43","20","0","122","0"
"36-106 Koyukuk","25","1","1","1","1"
"36-110 Manley","10","2","0","35","0"
"36-114 McGrath","29","7","3","54","1"
"36-118 Mentasta","26","3","0","10","0"
"36-122 Minto","25","4","0","22","0"
"36-126 Nenana","107","34","3","168","2"
"36-130 Nikolai","13","3","0","10","1"
"36-134 Northway","29","9","0","30","3"
"36-138 Nulato","56","6","0","15","0"
"36-142 Ruby","19","0","0","11","0"
"36-146 Shageluk","19","2","0","1","1"
"36-162 Tanana","61","0","0","18","0"
"36-166 Tetlin","13","5","0","12","0"
"36-170 Tok","101","51","9","360","1"
"36-174 Venetie","34","1","1","9","0"
"37-700 Akutan","27","4","0","17","1"
"37-702 Aleknagik","20","9","1","36","3"
"37-704 Aleutians No. 1","11","0","1","7","0"
"37-706 Aleutians No. 2","250","23","1","257","3"
"37-707 Aniak","61","9","1","34","2"
"37-708 Chignik","9","2","1","4","0"
"37-709 Chuathbaluk","9","3","0","5","2"
"37-710 Clark's Point","13","2","0","4","0"
"37-712 Cold Bay","6","2","1","11","0"
"37-713 Crooked Creek","14","2","0","3","0"
"37-714 Dillingham","289","43","6","210","2"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","10","5","0","19","0"
"37-719 Goodnews Bay","39","9","1","6","3"
"37-720 King Cove","26","7","1","74","3"
"37-722 King Salmon","44","10","2","72","0"
"37-724 Koliganek","33","5","0","34","0"
"37-726 Lake Iliamna No. 1","35","12","0","56","0"
"37-728 Lake Iliamna No. 2","34","11","1","29","3"
"37-730 Levelock","15","2","0","6","1"
"37-731 Lower Kalskag","39","9","1","11","1"
"37-732 Manokotak","33","14","0","52","5"
"37-734 Naknek","51","5","1","84","1"
"37-736 New Stuyahok","39","1","1","12","0"
"37-738 Nondalton","27","4","0","8","5"
"37-740 Pedro Bay","3","0","0","11","0"
"37-742 Port Heiden","13","1","0","10","0"
"37-744 Sand Point","37","5","2","78","1"
"37-746 Sleetmute","17","3","0","4","0"
"37-748 South Naknek","8","0","2","7","1"
"37-750 St. George Island","3","1","1","2","0"
"37-752 St. Paul Island","80","4","2","21","0"
"37-754 Togiak","58","30","3","47","11"
"37-756 Tyonek","29","1","0","7","0"
"37-758 Upper Kalskag","35","2","0","17","3"
"38-800 Akiachak","84","20","1","51","5"
"38-802 Akiak","38","7","3","42","0"
"38-806 Atmautluak","25","4","2","12","2"
"38-808 Bethel No. 1","344","62","1","171","3"
"38-810 Bethel No. 2","319","69","3","179","5"
"38-812 Chefornak","68","8","0","19","1"
"38-818 Eek","49","13","1","31","1"
"38-822 Kasigluk","46","6","0","11","2"
"38-824 Kipnuk","62","11","0","35","5"
"38-826 Kongiganak","51","25","3","9","6"
"38-828 Kwethluk","90","17","0","24","2"
"38-830 Kwigillingok","30","21","0","26","4"
"38-836 Mekoryuk","33","8","1","24","3"
"38-838 Napakiak","39","11","2","18","1"
"38-840 Napaskiak","51","14","0","2","1"
"38-842 Newtok","30","14","0","5","7"
"38-844 Nightmute","13","5","2","11","3"
"38-846 Nunapitchuk","49","17","0","31","1"
"38-848 Quinhagak","71","23","1","31","8"
"38-852 Toksook Bay","103","37","3","30","7"
"38-854 Tuluksak","3","0","0","0","0"
"38-856 Tuntutuliak","72","21","0","23","1"
"38-858 Tununak","55","12","0","10","4"
"39-900 Alakanuk","52","13","0","19","3"
"39-902 Brevig Mission","59","11","1","26","5"
"39-906 Diomede","9","0","0","1","0"
"39-908 Elim","48","25","0","30","0"
"39-910 Emmonak","90","8","3","40","7"
"39-912 Gambell","75","15","2","49","5"
"39-914 Golovin","35","4","0","10","0"
"39-916 Hooper Bay","93","7","2","55","10"
"39-918 Kotlik","63","7","0","39","0"
"39-920 Koyuk","42","15","1","37","5"
"39-921 Marshall","43","15","1","25","2"
"39-922 Mountain Village","81","20","1","27","3"
"39-924 Nome No. 1","168","15","2","116","2"
"39-926 Nome No. 2","331","68","0","177","4"
"39-928 Nunam Iqua","22","4","1","9","1"
"39-930 Pilot Station","68","12","0","9","5"
"39-931 Russian Mission","24","7","2","25","1"
"39-932 Savoonga","123","6","1","23","6"
"39-934 Scammon Bay","69","18","0","14","7"
"39-936 Shaktoolik","26","8","2","20","1"
"39-938 Shishmaref","138","14","2","21","0"
"39-940 St. Mary's","88","3","2","23","1"
"39-942 St. Michael","31","8","3","21","2"
"39-944 Stebbins","48","8","0","13","4"
"39-946 Teller","23","3","0","10","0"
"39-948 Unalakleet","136","17","1","63","4"
"39-950 Wales","6","0","0","2","0"
"39-952 White Mountain","51","2","0","16","0"
"40-002 Ambler","20","6","3","13","2"
"40-004 Anaktuvuk Pass","29","5","2","21","1"
"40-006 Atqasuk","10","7","1","18","1"
"40-008 Utqiagvik","122","26","0","101","0"
"40-010 Browerville","340","78","3","218","8"
"40-012 Buckland","44","14","0","24","2"
"40-014 Deering","21","8","0","7","1"
"40-016 Kaktovik","16","6","0","51","0"
"40-018 Kiana","24","1","1","34","0"
"40-020 Kivalina","21","6","1","32","2"
"40-022 Kobuk","20","1","0","16","1"
"40-024 Kotzebue","328","82","6","153","5"
"40-026 Noatak","30","20","2","49","4"
"40-028 Noorvik","37","14","2","43","0"
"40-030 Nuiqsut","19","4","2","15","4"
"40-032 Point Hope","42","1","1","76","0"
"40-034 Point Lay","14","5","0","11","0"
"40-036 Selawik","30","6","0","39","3"
"40-038 Shungnak","31","1","0","14","4"
"40-040 Wainwright","39","18","0","71","1"
"District 1 - Absentee","1379","123","15","1517","9"
"District 1 - Early Voting","13","4","0","3","0"
"District 1  - Question","194","46","2","254","2"
"District 10 - Absentee","1191","65","22","691","3"
"District 10 - Early Voting","740","72","4","738","3"
"District 10  - Question","113","19","2","122","2"
"District 11 - Absentee","1570","91","31","864","3"
"District 11 - Early Voting","853","74","9","844","4"
"District 11  - Question","104","24","0","108","2"
"District 12 - Absentee","1289","74","9","607","4"
"District 12 - Early Voting","845","63","2","689","1"
"District 12  - Question","118","31","3","86","2"
"District 13 - Absentee","1084","60","9","507","0"
"District 13 - Early Voting","678","84","7","620","3"
"District 13  - Question","150","34","2","154","6"
"District 14 - Absentee","1343","76","10","423","9"
"District 14 - Early Voting","1008","75","6","540","6"
"District 14  - Question","214","49","3","159","9"
"District 15 - Absentee","1303","67","17","756","2"
"District 15 - Early Voting","837","73","5","827","1"
"District 15  - Question","124","30","3","123","3"
"District 16 - Absentee","1560","68","12","616","2"
"District 16 - Early Voting","1109","81","10","632","5"
"District 16  - Question","139","25","1","134","3"
"District 17 - Absentee","1650","67","12","533","7"
"District 17 - Early Voting","1455","94","4","541","11"
"District 17  - Question","220","26","4","133","16"
"District 18 - Absentee","771","111","5","682","2"
"District 18 - Early Voting","265","34","0","208","1"
"District 18  - Question","263","102","3","463","4"
"District 19 - Absentee","827","45","3","256","13"
"District 19 - Early Voting","540","37","2","248","3"
"District 19  - Question","203","38","3","144","13"
"District 2 - Absentee","2549","209","25","1871","19"
"District 2 - Early Voting","44","5","0","26","1"
"District 2  - Question","124","22","2","119","5"
"District 20 - Absentee","1193","82","6","522","3"
"District 20 - Early Voting","726","67","3","501","3"
"District 20  - Question","186","51","2","127","7"
"District 21 - Absentee","1636","95","7","733","4"
"District 21 - Early Voting","827","72","4","632","6"
"District 21  - Question","195","57","4","136","10"
"District 22 - Absentee","732","78","7","400","8"
"District 22 - Early Voting","469","50","3","395","6"
"District 22  - Question","140","50","3","116","5"
"District 23 - Absentee","1406","152","15","1162","3"
"District 23 - Early Voting","1295","206","12","2001","3"
"District 23  - Question","121","38","0","164","1"
"District 24 - Absentee","930","129","14","975","2"
"District 24 - Early Voting","1031","208","12","2003","6"
"District 24  - Question","102","43","4","186","0"
"District 25 - Absentee","691","87","13","799","7"
"District 25 - Early Voting","1174","192","9","2048","3"
"District 25  - Question","111","53","2","266","5"
"District 26 - Absentee","468","94","5","813","7"
"District 26 - Early Voting","559","163","7","1965","4"
"District 26  - Question","90","50","2","281","3"
"District 27 - Absentee","426","87","6","791","1"
"District 27 - Early Voting","611","180","5","1940","4"
"District 27  - Question","86","79","2","327","3"
"District 28 - Absentee","502","108","4","777","2"
"District 28 - Early Voting","735","210","12","2086","2"
"District 28  - Question","91","53","2","290","1"
"District 29 - Absentee","799","111","14","1098","5"
"District 29 - Early Voting","648","196","10","1951","7"
"District 29  - Question","97","46","5","235","3"
"District 3 - Absentee","1800","89","8","785","3"
"District 3 - Early Voting","2123","112","14","1307","4"
"District 3  - Question","160","25","1","119","3"
"District 31 - Absentee","605","70","14","475","4"
"District 31 - Early Voting","1034","135","10","772","16"
"District 31  - Question","150","34","2","139","3"
"District 32 - Absentee","442","103","5","461","4"
"District 32 - Early Voting","436","96","4","555","3"
"District 32  - Question","211","189","4","436","2"
"District 33 - Absentee","506","113","5","642","1"
"District 33 - Early Voting","467","147","4","1070","5"
"District 33  - Question","72","52","0","178","3"
"District 34 - Absentee","794","101","16","652","5"
"District 34 - Early Voting","1147","175","7","1206","10"
"District 34  - Question","194","100","4","384","1"
"District 35 - Absentee","864","66","5","481","5"
"District 35 - Early Voting","1559","124","8","971","8"
"District 35  - Question","128","36","1","160","1"
"District 38 - Absentee","353","43","4","133","3"
"District 38 - Early Voting","22","4","0","4","0"
"District 38  - Question","125","38","2","100","5"
"District 4 - Absentee","1297","31","8","331","1"
"District 4 - Early Voting","2765","104","15","964","8"
"District 4  - Question","228","40","5","150","4"
"District 40 - Absentee","248","31","4","164","2"
"District 40 - Early Voting","27","3","1","14","1"
"District 40  - Question","101","44","2","103","2"
"District 5 - Absentee","1559","165","28","1379","10"
"District 5 - Early Voting","28","3","0","31","0"
"District 5  - Question","113","44","1","206","3"
"District 6 - Absentee","1252","94","21","1021","1"
"District 6 - Early Voting","1884","147","14","2022","2"
"District 6  - Question","102","26","1","211","0"
"District 7 - Absentee","593","103","8","1000","3"
"District 7 - Early Voting","1008","236","20","2370","11"
"District 7  - Question","64","42","2","188","1"
"District 8 - Absentee","824","139","16","1288","3"
"District 8 - Early Voting","699","222","11","2239","7"
"District 8  - Question","34","28","1","134","0"
"District 9 - Absentee","2054","96","31","1116","3"
"District 9 - Early Voting","1066","94","8","991","3"
"District 9  - Question","117","28","1","107","0"
"HD99 Fed Overseas Absentee","343","9","0","49","0"
"House District 30 - Judicial District 3","1245","288","28","2801","18"
"House District 30 - Judicial District 4","295","22","1","224","2"
"House District 36 - Judicial District 3","279","48","7","386","1"
"House District 36 - Judicial District 4","1221","188","18","1327","11"
"House District 37 - Judicial District 3","610","88","6","526","11"
"House District 37 - Judicial District 4","107","10","1","79","2"
"House District 39 - Judicial District 2","440","72","7","251","6"
"House District 39 - Judicial District 4","66","18","0","44","4"
"Total","150916","23245","1888","163502","1227"
