"1","Harris/Walz","Stein/Ware","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","461","26","7","166","0"
"16-455 West Anchorage No. 2","469","57","3","267","3"
"16-460 West Anchorage No. 3","600","67","9","375","3"
"16-465 West Anchorage No. 4","261","57","5","213","0"
"16-470 West Anchorage No. 5","416","67","6","421","0"
"16-475 West Anchorage No. 6","367","46","5","350","2"
"16-480 West Anchorage No. 7","299","65","3","250","3"
"17-505 Downtown Anchorage No. 1","205","12","3","127","0"
"17-510 Downtown Anchorage No. 2","346","23","4","121","0"
"17-515 Downtown Anchorage No. 3","222","12","4","107","2"
"17-520 Downtown Anchorage No. 4","402","43","4","185","2"
"17-525 Downtown Anchorage No. 5","269","32","1","129","2"
"17-530 Downtown Anchorage No. 6","194","23","1","93","5"
"17-535 Downtown Anchorage No. 7","272","30","1","143","1"
"18-550 Government Hill","246","25","2","146","0"
"18-555 JBER No.1","236","76","3","517","0"
"18-556 JBER No.2","86","29","0","123","0"
"18-560 North Muldoon","170","26","3","151","1"
"18-565 Ship Creek","49","5","0","32","0"
"19-605 Airport Heights No. 1","471","36","2","213","2"
"19-610 Airport Heights No. 2","334","29","2","357","1"
"19-615 Mountainview No. 1","236","39","0","124","3"
"19-620 Mountainview No. 2","206","28","1","143","2"
"19-625 South Mountainview","233","31","1","196","1"
"20-650 University No. 1","158","22","0","88","2"
"20-655 University No. 2","493","56","4","365","2"
"20-660 University No. 3","514","54","3","339","9"
"20-665 University No. 4","240","32","2","152","1"
"20-670 University No. 5","702","85","11","504","10"
"21-705 East Anchorage No. 1","364","32","4","292","2"
"21-710 East Anchorage No. 2","372","59","2","370","1"
"21-715 East Anchorage No. 3","516","82","7","504","8"
"21-720 East Anchorage No. 4","442","60","2","348","6"
"21-725 East Anchorage No. 5","636","89","4","484","4"
"22-750 Northeast Anchorage No. 1","429","68","3","324","2"
"22-755 Northeast Anchorage No. 2","379","61","0","319","7"
"22-760 Northeast Anchorage No. 3","470","74","5","338","6"
"22-765 Northeast Anchorage No. 4","270","57","4","229","14"
"23-805 Chugach Park No. 1","416","83","5","562","0"
"23-810 Eagle River No. 1","237","52","5","336","2"
"23-815 Eagle River No. 2","299","51","7","322","2"
"23-820 Hiland","232","46","2","358","0"
"23-825 Meadow Creek No. 1","305","53","3","360","2"
"23-830 Meadow Creek No. 2","144","26","1","249","3"
"24-850 Chugach Park No. 2","216","45","8","408","2"
"24-855 Chugiak","115","27","1","225","0"
"24-860 Eagle River No. 3","219","46","3","346","0"
"24-865 Eklutna","214","62","1","362","3"
"24-870 Fire Lake","246","68","3","405","3"
"24-875 Peters Creek No. 1","268","71","8","634","2"
"24-880 Peters Creek No. 2","160","45","1","320","0"
"25-305 Butte","305","104","12","786","1"
"25-310 Greater Palmer","168","37","3","333","1"
"25-315 Lazy Mountain","224","57","3","503","1"
"25-320 Palmer City No. 1","187","43","3","317","1"
"25-325 Palmer City No. 2","206","47","2","306","1"
"25-330 Springer Loop","205","58","5","481","2"
"25-335 Walby","152","79","7","430","2"
"26-350 Fairview No. 1","94","48","1","355","0"
"26-355 Fairview No. 2","100","43","1","248","2"
"26-360 Knik Goose Bay No. 1","221","98","6","850","1"
"26-365 Knik Goose Bay No. 2","170","64","3","546","0"
"26-370 Knik Goose Bay No. 3","113","48","1","347","1"
"26-375 Mat-Su Campus","175","47","5","404","2"
"26-380 Snowshoe","206","81","0","700","0"
"27-405 Foothills","132","73","4","504","3"
"27-410 Meadow Lakes No. 1","188","94","3","781","1"
"27-415 Meadow Lakes No. 2","159","76","7","653","1"
"27-420 Wasilla No. 1","176","72","6","484","4"
"27-425 Wasilla No. 2","204","86","8","644","1"
"28-450 Lakes No. 1","138","58","4","389","1"
"28-455 Lakes No. 2","99","24","4","279","0"
"28-460 Seldon No. 1","175","45","3","729","1"
"28-465 Seldon No. 2","241","89","7","611","2"
"28-470 Seward Meridian","100","38","4","261","0"
"28-475 Trunk","226","68","6","455","4"
"28-480 Wasilla Lake","96","37","1","261","0"
"29-505 Farm Loop","206","77","4","689","1"
"29-510 Fishhook","362","91","8","935","2"
"29-515 Kings Lake","191","67","3","622","2"
"29-520 Lakes No. 3","87","32","1","233","0"
"29-525 Sheep Mountain","23","4","1","121","1"
"29-530 Sutton","133","43","2","326","0"
"29-535 Valdez No. 1","168","32","3","272","0"
"29-540 Valdez No. 2","96","9","1","117","1"
"29-545 Valdez No. 3","122","33","4","218","2"
"30-550 Anderson/Clear","26","6","0","105","0"
"30-555 Big Lake","214","104","8","861","7"
"30-560 Cantwell","42","7","1","36","0"
"30-565 Denali Park","56","5","0","11","0"
"30-570 East Schrock","21","13","0","56","0"
"30-575 Healy","116","46","1","211","0"
"30-580 Houston","111","43","0","369","2"
"30-585 Knik Goose Bay No. 4","229","103","6","777","0"
"30-590 Trapper Creek","30","5","1","82","1"
"30-595 Susitna","124","36","3","334","0"
"30-600 Talkeetna","141","20","3","96","0"
"30-605 Willow","236","69","5","683","3"
"31-446 Aurora","409","58","5","420","0"
"31-455 Fairbanks No. 1","474","50","7","406","4"
"31-480 Fairbanks No. 2","423","74","12","403","2"
"31-485 Fairbanks No. 3","415","86","3","361","9"
"32-355 Fairbanks No. 4","345","74","4","378","3"
"32-365 Fairbanks No. 5","268","48","3","268","2"
"32-375 Fort Wainwright","113","57","0","205","2"
"32-385 Badger No. 2","310","117","6","745","2"
"33-130 Badger No. 1","312","104","4","758","5"
"33-135 Chena Lakes","224","118","6","827","4"
"33-155 Moose Creek","34","13","1","100","0"
"33-165 Newby","270","142","9","828","0"
"33-175 North Pole","174","80","2","481","1"
"33-183 Plack","199","145","0","794","0"
"34-235 Eielson","92","53","0","186","1"
"34-238 Eielson Farm Road","10","3","0","45","0"
"34-240 Farmers Loop","467","63","7","374","0"
"34-260 Salcha","105","48","2","380","1"
"34-263 Steele Creek","361","92","3","590","3"
"34-265 Steese","383","79","8","551","6"
"34-270 Summit","324","79","11","463","3"
"34-280 Two Rivers","140","35","3","325","0"
"35-580 Airport","121","27","3","183","1"
"35-582 Chena","661","102","10","657","2"
"35-584 Ester","322","41","2","200","2"
"35-586 Geist","272","46","1","261","0"
"35-587 Lakeview","39","10","0","74","0"
"35-592 Shanly","228","50","2","152","0"
"35-595 University Hills","357","42","8","213","0"
"35-596 University West","647","100","11","533","0"
"36-001 Goldstream No. 1","313","49","7","280","2"
"36-002 Goldstream No. 2","463","59","10","244","2"
"36-010 Allakaket","35","1","1","2","1"
"36-014 Anvik","19","3","0","3","0"
"36-018 Arctic Village","49","0","0","4","0"
"36-022 Beaver","12","2","0","3","0"
"36-026 Bettles","5","1","0","5","0"
"36-034 Central","7","0","0","33","1"
"36-038 Chistochina","13","2","0","54","2"
"36-042 Circle","16","0","0","4","0"
"36-046 Copper Center","97","34","2","219","2"
"36-050 Delta Junction","44","38","2","271","3"
"36-054 Deltana","149","68","5","975","1"
"36-058 Dot Lake","4","1","0","44","0"
"36-062 Eagle","19","3","1","45","1"
"36-066 Fort Yukon","100","3","2","34","1"
"36-070 Gakona","21","6","4","79","0"
"36-074 Galena","83","13","0","50","0"
"36-078 Glennallen","34","18","1","126","0"
"36-082 Grayling","26","5","2","18","4"
"36-086 Holy Cross","33","1","1","6","0"
"36-090 Hughes","19","0","0","11","0"
"36-094 Huslia","71","1","4","18","1"
"36-098 Kaltag","25","4","1","9","1"
"36-102 Kenny Lake","43","18","0","124","0"
"36-106 Koyukuk","25","1","1","1","1"
"36-110 Manley","9","2","0","36","0"
"36-114 McGrath","30","4","3","56","1"
"36-118 Mentasta","26","3","0","10","0"
"36-122 Minto","25","5","0","21","0"
"36-126 Nenana","104","32","3","173","2"
"36-130 Nikolai","13","4","0","9","1"
"36-134 Northway","30","8","0","30","3"
"36-138 Nulato","57","3","0","17","0"
"36-142 Ruby","19","0","0","11","0"
"36-146 Shageluk","19","2","0","1","1"
"36-162 Tanana","61","0","0","18","0"
"36-166 Tetlin","14","4","0","12","0"
"36-170 Tok","101","35","9","376","1"
"36-174 Venetie","33","1","1","10","0"
"37-700 Akutan","27","5","0","16","1"
"37-702 Aleknagik","19","11","1","35","3"
"37-704 Aleutians No. 1","11","0","1","7","0"
"37-706 Aleutians No. 2","249","25","1","256","3"
"37-707 Aniak","61","9","1","34","2"
"37-708 Chignik","9","2","1","4","0"
"37-709 Chuathbaluk","9","4","0","5","1"
"37-710 Clark's Point","13","2","0","4","0"
"37-712 Cold Bay","6","2","1","11","0"
"37-713 Crooked Creek","14","2","0","3","0"
"37-714 Dillingham","287","37","6","218","2"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","10","5","0","19","0"
"37-719 Goodnews Bay","38","11","1","5","3"
"37-720 King Cove","24","6","1","77","3"
"37-722 King Salmon","43","8","2","75","0"
"37-724 Koliganek","33","6","0","33","0"
"37-726 Lake Iliamna No. 1","34","16","0","53","0"
"37-728 Lake Iliamna No. 2","34","14","1","26","3"
"37-730 Levelock","15","3","0","5","1"
"37-731 Lower Kalskag","41","7","1","11","1"
"37-732 Manokotak","35","14","0","51","4"
"37-734 Naknek","51","6","1","83","1"
"37-736 New Stuyahok","39","2","1","11","0"
"37-738 Nondalton","27","3","0","9","5"
"37-740 Pedro Bay","3","0","0","11","0"
"37-742 Port Heiden","13","2","0","9","0"
"37-744 Sand Point","36","6","2","78","1"
"37-746 Sleetmute","16","4","0","4","0"
"37-748 South Naknek","7","3","2","5","1"
"37-750 St. George Island","3","1","1","2","0"
"37-752 St. Paul Island","79","10","2","16","0"
"37-754 Togiak","60","29","3","45","12"
"37-756 Tyonek","29","1","0","7","0"
"37-758 Upper Kalskag","35","5","0","15","2"
"38-800 Akiachak","85","13","1","57","5"
"38-802 Akiak","37","7","3","43","0"
"38-806 Atmautluak","24","3","2","14","2"
"38-808 Bethel No. 1","352","53","1","172","3"
"38-810 Bethel No. 2","329","51","3","186","6"
"38-812 Chefornak","68","7","0","20","1"
"38-818 Eek","51","7","1","34","2"
"38-822 Kasigluk","48","4","0","11","2"
"38-824 Kipnuk","64","10","0","34","5"
"38-826 Kongiganak","48","27","3","12","4"
"38-828 Kwethluk","96","9","0","26","2"
"38-830 Kwigillingok","30","20","0","25","6"
"38-836 Mekoryuk","34","6","1","24","4"
"38-838 Napakiak","43","6","2","18","2"
"38-840 Napaskiak","55","11","0","1","1"
"38-842 Newtok","37","7","0","5","7"
"38-844 Nightmute","11","6","2","12","3"
"38-846 Nunapitchuk","56","8","0","34","0"
"38-848 Quinhagak","70","18","1","35","10"
"38-852 Toksook Bay","109","29","3","31","8"
"38-854 Tuluksak","3","0","0","0","0"
"38-856 Tuntutuliak","80","13","0","23","1"
"38-858 Tununak","57","9","0","11","4"
"39-900 Alakanuk","52","13","0","18","4"
"39-902 Brevig Mission","59","10","1","27","5"
"39-906 Diomede","8","1","0","1","0"
"39-908 Elim","47","28","0","28","0"
"39-910 Emmonak","90","9","3","39","7"
"39-912 Gambell","75","12","2","51","6"
"39-914 Golovin","35","4","0","10","0"
"39-916 Hooper Bay","94","7","2","54","10"
"39-918 Kotlik","63","6","0","40","0"
"39-920 Koyuk","41","15","1","38","5"
"39-921 Marshall","42","13","1","28","2"
"39-922 Mountain Village","80","21","1","27","3"
"39-924 Nome No. 1","168","19","2","112","2"
"39-926 Nome No. 2","328","67","0","182","3"
"39-928 Nunam Iqua","22","4","1","9","1"
"39-930 Pilot Station","71","8","0","9","6"
"39-931 Russian Mission","25","5","2","26","1"
"39-932 Savoonga","122","8","1","22","6"
"39-934 Scammon Bay","69","19","0","13","7"
"39-936 Shaktoolik","27","6","2","21","1"
"39-938 Shishmaref","139","13","2","21","0"
"39-940 St. Mary's","88","3","2","23","1"
"39-942 St. Michael","31","11","3","18","2"
"39-944 Stebbins","47","8","0","14","4"
"39-946 Teller","23","2","0","11","0"
"39-948 Unalakleet","136","18","1","62","4"
"39-950 Wales","5","1","0","2","0"
"39-952 White Mountain","51","2","0","16","0"
"40-002 Ambler","20","6","3","13","2"
"40-004 Anaktuvuk Pass","29","4","2","22","1"
"40-006 Atqasuk","10","7","1","18","1"
"40-008 Utqiagvik","125","22","0","102","0"
"40-010 Browerville","338","79","3","220","7"
"40-012 Buckland","45","14","0","23","2"
"40-014 Deering","19","11","0","6","1"
"40-016 Kaktovik","16","6","0","51","0"
"40-018 Kiana","24","0","1","35","0"
"40-020 Kivalina","21","6","1","32","2"
"40-022 Kobuk","20","1","0","16","1"
"40-024 Kotzebue","326","78","6","159","5"
"40-026 Noatak","27","24","2","48","4"
"40-028 Noorvik","39","13","2","42","0"
"40-030 Nuiqsut","19","4","2","15","4"
"40-032 Point Hope","42","1","1","76","0"
"40-034 Point Lay","12","7","0","11","0"
"40-036 Selawik","29","8","0","39","2"
"40-038 Shungnak","31","1","0","14","4"
"40-040 Wainwright","40","17","0","71","1"
"District 1 - Absentee","1361","137","15","1521","9"
"District 1 - Early Voting","14","3","0","3","0"
"District 1  - Question","195","42","2","256","3"
"District 10 - Absentee","1186","71","22","690","3"
"District 10 - Early Voting","735","66","4","748","4"
"District 10  - Question","109","22","2","123","2"
"District 11 - Absentee","1562","97","31","866","3"
"District 11 - Early Voting","849","72","9","849","5"
"District 11  - Question","103","22","0","110","3"
"District 12 - Absentee","1275","86","9","609","4"
"District 12 - Early Voting","845","57","2","695","1"
"District 12  - Question","115","30","3","89","3"
"District 13 - Absentee","1073","71","9","507","0"
"District 13 - Early Voting","670","85","7","627","3"
"District 13  - Question","150","34","2","155","5"
"District 14 - Absentee","1322","92","10","427","10"
"District 14 - Early Voting","994","78","6","552","5"
"District 14  - Question","218","43","3","159","11"
"District 15 - Absentee","1290","71","17","765","2"
"District 15 - Early Voting","836","67","5","834","1"
"District 15  - Question","125","29","3","123","3"
"District 16 - Absentee","1546","77","12","621","2"
"District 16 - Early Voting","1101","72","10","648","6"
"District 16  - Question","133","30","1","135","3"
"District 17 - Absentee","1634","90","12","525","8"
"District 17 - Early Voting","1444","96","4","550","11"
"District 17  - Question","215","34","4","129","17"
"District 18 - Absentee","770","96","5","698","2"
"District 18 - Early Voting","260","37","0","210","1"
"District 18  - Question","261","94","3","473","4"
"District 19 - Absentee","808","67","3","253","13"
"District 19 - Early Voting","534","41","2","249","4"
"District 19  - Question","199","41","3","147","11"
"District 2 - Absentee","2524","224","25","1882","18"
"District 2 - Early Voting","42","6","0","27","1"
"District 2  - Question","116","29","2","120","5"
"District 20 - Absentee","1185","81","6","531","3"
"District 20 - Early Voting","713","71","3","508","5"
"District 20  - Question","185","47","2","131","8"
"District 21 - Absentee","1608","119","7","737","4"
"District 21 - Early Voting","816","75","4","641","5"
"District 21  - Question","197","53","4","139","9"
"District 22 - Absentee","725","76","7","409","8"
"District 22 - Early Voting","465","50","3","397","8"
"District 22  - Question","142","39","3","125","5"
"District 23 - Absentee","1404","134","15","1182","3"
"District 23 - Early Voting","1291","166","12","2043","5"
"District 23  - Question","118","39","0","166","1"
"District 24 - Absentee","922","121","14","990","3"
"District 24 - Early Voting","1028","170","12","2045","5"
"District 24  - Question","100","40","4","191","0"
"District 25 - Absentee","680","79","13","818","7"
"District 25 - Early Voting","1165","177","9","2071","4"
"District 25  - Question","108","51","2","272","4"
"District 26 - Absentee","467","78","5","830","7"
"District 26 - Early Voting","554","146","7","1988","3"
"District 26  - Question","89","52","2","281","2"
"District 27 - Absentee","424","90","6","791","0"
"District 27 - Early Voting","601","168","5","1961","5"
"District 27  - Question","87","72","2","332","4"
"District 28 - Absentee","496","93","4","798","2"
"District 28 - Early Voting","733","187","12","2111","2"
"District 28  - Question","89","51","2","293","2"
"District 29 - Absentee","789","105","14","1113","6"
"District 29 - Early Voting","643","169","10","1983","7"
"District 29  - Question","95","46","5","237","3"
"District 3 - Absentee","1771","107","8","797","2"
"District 3 - Early Voting","2105","111","14","1326","4"
"District 3  - Question","160","25","1","119","3"
"District 31 - Absentee","597","64","14","489","4"
"District 31 - Early Voting","1022","131","10","788","16"
"District 31  - Question","151","31","2","141","3"
"District 32 - Absentee","442","90","5","474","4"
"District 32 - Early Voting","432","86","4","567","5"
"District 32  - Question","212","173","4","451","2"
"District 33 - Absentee","502","93","5","665","2"
"District 33 - Early Voting","459","141","4","1085","4"
"District 33  - Question","71","45","0","185","4"
"District 34 - Absentee","789","88","16","670","5"
"District 34 - Early Voting","1131","169","7","1229","9"
"District 34  - Question","199","89","4","390","1"
"District 35 - Absentee","840","88","5","483","5"
"District 35 - Early Voting","1532","136","8","987","7"
"District 35  - Question","127","37","1","160","1"
"District 38 - Absentee","361","27","4","141","3"
"District 38 - Early Voting","22","3","0","5","0"
"District 38  - Question","130","33","2","99","6"
"District 4 - Absentee","1272","55","8","332","1"
"District 4 - Early Voting","2724","144","15","965","8"
"District 4  - Question","222","50","5","146","4"
"District 40 - Absentee","250","27","4","166","2"
"District 40 - Early Voting","27","2","1","15","1"
"District 40  - Question","101","41","2","104","4"
"District 5 - Absentee","1539","182","28","1382","10"
"District 5 - Early Voting","28","2","0","32","0"
"District 5  - Question","109","42","1","212","3"
"District 6 - Absentee","1232","98","21","1036","2"
"District 6 - Early Voting","1856","156","14","2041","2"
"District 6  - Question","102","25","1","212","0"
"District 7 - Absentee","589","81","8","1026","3"
"District 7 - Early Voting","1001","214","20","2401","9"
"District 7  - Question","61","40","2","193","1"
"District 8 - Absentee","816","125","16","1310","3"
"District 8 - Early Voting","691","191","11","2278","7"
"District 8  - Question","32","24","1","140","0"
"District 9 - Absentee","2026","112","31","1128","3"
"District 9 - Early Voting","1061","85","8","1005","3"
"District 9  - Question","114","27","1","111","0"
"HD99 Fed Overseas Absentee","340","16","0","45","0"
"House District 30 - Judicial District 3","1232","242","28","2860","18"
"House District 30 - Judicial District 4","289","21","1","231","2"
"House District 36 - Judicial District 3","274","41","7","398","1"
"House District 36 - Judicial District 4","1203","164","18","1368","12"
"House District 37 - Judicial District 3","607","79","6","539","10"
"House District 37 - Judicial District 4","105","15","1","76","2"
"House District 39 - Judicial District 2","441","64","7","258","6"
"House District 39 - Judicial District 4","69","13","0","46","4"
"Total","149396","22495","1888","165757","1242"
