"1","Harris/Walz","West/Abdullah","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","464","19","7","170","0"
"16-455 West Anchorage No. 2","472","50","3","271","3"
"16-460 West Anchorage No. 3","598","64","9","380","3"
"16-465 West Anchorage No. 4","267","46","5","217","1"
"16-470 West Anchorage No. 5","421","56","6","426","1"
"16-475 West Anchorage No. 6","371","38","5","354","2"
"16-480 West Anchorage No. 7","298","57","3","259","3"
"17-505 Downtown Anchorage No. 1","207","10","3","127","0"
"17-510 Downtown Anchorage No. 2","351","17","4","122","0"
"17-515 Downtown Anchorage No. 3","221","13","4","107","2"
"17-520 Downtown Anchorage No. 4","409","34","4","187","2"
"17-525 Downtown Anchorage No. 5","269","29","1","131","3"
"17-530 Downtown Anchorage No. 6","196","19","1","94","6"
"17-535 Downtown Anchorage No. 7","275","24","1","146","1"
"18-550 Government Hill","246","22","2","149","0"
"18-555 JBER No.1","237","73","3","519","0"
"18-556 JBER No.2","87","25","0","126","0"
"18-560 North Muldoon","172","20","3","155","1"
"18-565 Ship Creek","50","5","0","31","0"
"19-605 Airport Heights No. 1","476","29","2","215","2"
"19-610 Airport Heights No. 2","339","21","2","360","1"
"19-615 Mountainview No. 1","235","39","0","126","2"
"19-620 Mountainview No. 2","208","24","1","145","2"
"19-625 South Mountainview","233","29","1","198","1"
"20-650 University No. 1","158","21","0","89","2"
"20-655 University No. 2","495","51","4","367","3"
"20-660 University No. 3","515","52","3","340","9"
"20-665 University No. 4","244","24","2","156","1"
"20-670 University No. 5","704","76","11","510","11"
"21-705 East Anchorage No. 1","374","22","4","292","2"
"21-710 East Anchorage No. 2","372","63","2","366","1"
"21-715 East Anchorage No. 3","520","75","7","507","8"
"21-720 East Anchorage No. 4","443","57","2","352","4"
"21-725 East Anchorage No. 5","641","73","4","494","5"
"22-750 Northeast Anchorage No. 1","427","69","3","326","1"
"22-755 Northeast Anchorage No. 2","377","62","0","320","7"
"22-760 Northeast Anchorage No. 3","476","64","5","342","6"
"22-765 Northeast Anchorage No. 4","273","51","4","232","14"
"23-805 Chugach Park No. 1","423","74","5","563","1"
"23-810 Eagle River No. 1","240","46","5","339","2"
"23-815 Eagle River No. 2","302","48","7","323","1"
"23-820 Hiland","227","47","2","362","0"
"23-825 Meadow Creek No. 1","309","44","3","366","1"
"23-830 Meadow Creek No. 2","145","23","1","251","3"
"24-850 Chugach Park No. 2","220","33","8","416","2"
"24-855 Chugiak","116","21","1","230","0"
"24-860 Eagle River No. 3","217","47","3","347","0"
"24-865 Eklutna","219","48","1","371","3"
"24-870 Fire Lake","249","62","3","408","3"
"24-875 Peters Creek No. 1","272","60","8","641","2"
"24-880 Peters Creek No. 2","165","35","1","325","0"
"25-305 Butte","308","95","12","791","2"
"25-310 Greater Palmer","170","31","3","337","1"
"25-315 Lazy Mountain","224","59","3","501","1"
"25-320 Palmer City No. 1","190","36","3","322","0"
"25-325 Palmer City No. 2","208","47","2","304","1"
"25-330 Springer Loop","205","60","5","480","1"
"25-335 Walby","154","68","7","439","2"
"26-350 Fairview No. 1","97","41","1","359","0"
"26-355 Fairview No. 2","103","35","1","253","2"
"26-360 Knik Goose Bay No. 1","226","83","6","860","1"
"26-365 Knik Goose Bay No. 2","174","53","3","553","0"
"26-370 Knik Goose Bay No. 3","114","43","1","352","0"
"26-375 Mat-Su Campus","175","45","5","406","2"
"26-380 Snowshoe","211","72","0","704","0"
"27-405 Foothills","139","62","4","508","3"
"27-410 Meadow Lakes No. 1","191","83","3","787","3"
"27-415 Meadow Lakes No. 2","161","69","7","657","2"
"27-420 Wasilla No. 1","176","71","6","483","6"
"27-425 Wasilla No. 2","207","82","8","645","1"
"28-450 Lakes No. 1","143","50","4","393","0"
"28-455 Lakes No. 2","100","22","4","279","1"
"28-460 Seldon No. 1","174","39","3","737","0"
"28-465 Seldon No. 2","244","85","7","612","2"
"28-470 Seward Meridian","104","32","4","263","0"
"28-475 Trunk","236","55","6","458","4"
"28-480 Wasilla Lake","101","33","1","260","0"
"29-505 Farm Loop","209","71","4","692","1"
"29-510 Fishhook","366","77","8","944","3"
"29-515 Kings Lake","192","62","3","626","2"
"29-520 Lakes No. 3","88","30","1","234","0"
"29-525 Sheep Mountain","24","2","1","122","1"
"29-530 Sutton","141","32","2","329","0"
"29-535 Valdez No. 1","170","29","3","273","0"
"29-540 Valdez No. 2","94","7","1","121","1"
"29-545 Valdez No. 3","126","22","4","224","3"
"30-550 Anderson/Clear","27","5","0","105","0"
"30-555 Big Lake","213","98","8","868","7"
"30-560 Cantwell","41","6","1","38","0"
"30-565 Denali Park","57","3","0","12","0"
"30-570 East Schrock","21","13","0","56","0"
"30-575 Healy","122","32","1","219","0"
"30-580 Houston","109","42","0","372","2"
"30-585 Knik Goose Bay No. 4","230","93","6","786","0"
"30-590 Trapper Creek","30","4","1","83","1"
"30-595 Susitna","126","29","3","339","0"
"30-600 Talkeetna","144","13","3","100","0"
"30-605 Willow","233","70","5","684","4"
"31-446 Aurora","407","56","5","424","0"
"31-455 Fairbanks No. 1","477","43","7","410","4"
"31-480 Fairbanks No. 2","420","72","12","407","3"
"31-485 Fairbanks No. 3","419","75","3","367","10"
"32-355 Fairbanks No. 4","348","66","4","383","3"
"32-365 Fairbanks No. 5","271","43","3","270","2"
"32-375 Fort Wainwright","117","53","0","205","2"
"32-385 Badger No. 2","314","106","6","751","3"
"33-130 Badger No. 1","312","101","4","761","5"
"33-135 Chena Lakes","226","111","6","832","4"
"33-155 Moose Creek","36","8","1","103","0"
"33-165 Newby","275","128","9","837","0"
"33-175 North Pole","179","68","2","488","1"
"33-183 Plack","203","132","0","803","0"
"34-235 Eielson","94","51","0","186","1"
"34-238 Eielson Farm Road","10","0","0","48","0"
"34-240 Farmers Loop","475","48","7","381","0"
"34-260 Salcha","104","47","2","382","1"
"34-263 Steele Creek","361","82","3","598","5"
"34-265 Steese","388","64","8","561","6"
"34-270 Summit","328","64","11","473","4"
"34-280 Two Rivers","139","36","3","325","0"
"35-580 Airport","125","22","3","184","1"
"35-582 Chena","672","83","10","665","2"
"35-584 Ester","330","31","2","202","2"
"35-586 Geist","278","38","1","263","0"
"35-587 Lakeview","38","11","0","74","0"
"35-592 Shanly","235","45","2","150","0"
"35-595 University Hills","360","35","8","217","0"
"35-596 University West","649","94","11","537","0"
"36-001 Goldstream No. 1","324","33","7","285","2"
"36-002 Goldstream No. 2","471","40","10","255","2"
"36-010 Allakaket","35","2","1","1","1"
"36-014 Anvik","21","1","0","3","0"
"36-018 Arctic Village","49","0","0","4","0"
"36-022 Beaver","13","1","0","3","0"
"36-026 Bettles","5","1","0","5","0"
"36-034 Central","7","0","0","33","1"
"36-038 Chistochina","13","2","0","54","2"
"36-042 Circle","16","0","0","4","0"
"36-046 Copper Center","99","33","2","218","2"
"36-050 Delta Junction","45","35","2","274","2"
"36-054 Deltana","149","64","5","978","2"
"36-058 Dot Lake","4","1","0","44","0"
"36-062 Eagle","20","3","1","44","1"
"36-066 Fort Yukon","100","2","2","34","2"
"36-070 Gakona","21","6","4","79","0"
"36-074 Galena","84","12","0","50","0"
"36-078 Glennallen","34","19","1","125","0"
"36-082 Grayling","25","4","2","20","4"
"36-086 Holy Cross","32","2","1","6","0"
"36-090 Hughes","19","1","0","10","0"
"36-094 Huslia","71","2","4","17","1"
"36-098 Kaltag","26","2","1","9","2"
"36-102 Kenny Lake","44","16","0","125","0"
"36-106 Koyukuk","25","1","1","1","1"
"36-110 Manley","10","1","0","36","0"
"36-114 McGrath","29","3","3","58","1"
"36-118 Mentasta","26","3","0","10","0"
"36-122 Minto","25","4","0","22","0"
"36-126 Nenana","108","26","3","176","1"
"36-130 Nikolai","13","3","0","10","1"
"36-134 Northway","30","7","0","31","3"
"36-138 Nulato","57","3","0","17","0"
"36-142 Ruby","19","0","0","11","0"
"36-146 Shageluk","19","2","0","1","1"
"36-162 Tanana","61","0","0","18","0"
"36-166 Tetlin","14","4","0","12","0"
"36-170 Tok","104","31","9","377","1"
"36-174 Venetie","34","0","1","10","0"
"37-700 Akutan","26","5","0","17","1"
"37-702 Aleknagik","19","10","1","36","3"
"37-704 Aleutians No. 1","11","0","1","7","0"
"37-706 Aleutians No. 2","255","18","1","257","3"
"37-707 Aniak","62","6","1","36","2"
"37-708 Chignik","9","1","1","4","1"
"37-709 Chuathbaluk","9","2","0","6","2"
"37-710 Clark's Point","13","2","0","4","0"
"37-712 Cold Bay","6","2","1","11","0"
"37-713 Crooked Creek","14","2","0","3","0"
"37-714 Dillingham","288","36","6","217","3"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","10","5","0","19","0"
"37-719 Goodnews Bay","39","9","1","6","3"
"37-720 King Cove","25","6","1","76","3"
"37-722 King Salmon","42","10","2","74","0"
"37-724 Koliganek","33","5","0","34","0"
"37-726 Lake Iliamna No. 1","37","12","0","54","0"
"37-728 Lake Iliamna No. 2","33","12","1","29","3"
"37-730 Levelock","15","2","0","6","1"
"37-731 Lower Kalskag","39","10","1","10","1"
"37-732 Manokotak","34","15","0","51","4"
"37-734 Naknek","51","6","1","83","1"
"37-736 New Stuyahok","39","2","1","11","0"
"37-738 Nondalton","26","4","0","9","5"
"37-740 Pedro Bay","3","0","0","11","0"
"37-742 Port Heiden","13","1","0","10","0"
"37-744 Sand Point","38","4","2","79","0"
"37-746 Sleetmute","17","2","0","5","0"
"37-748 South Naknek","8","1","2","6","1"
"37-750 St. George Island","3","1","1","2","0"
"37-752 St. Paul Island","79","5","2","21","0"
"37-754 Togiak","62","24","3","47","13"
"37-756 Tyonek","29","1","0","7","0"
"37-758 Upper Kalskag","35","3","0","16","3"
"38-800 Akiachak","84","14","1","57","5"
"38-802 Akiak","38","6","3","43","0"
"38-806 Atmautluak","25","3","2","13","2"
"38-808 Bethel No. 1","344","58","1","175","3"
"38-810 Bethel No. 2","324","51","3","191","6"
"38-812 Chefornak","69","6","0","20","1"
"38-818 Eek","49","10","1","34","1"
"38-822 Kasigluk","46","6","0","11","2"
"38-824 Kipnuk","65","9","0","36","3"
"38-826 Kongiganak","53","22","3","13","3"
"38-828 Kwethluk","93","12","0","26","2"
"38-830 Kwigillingok","32","18","0","26","5"
"38-836 Mekoryuk","32","8","1","24","4"
"38-838 Napakiak","37","12","2","18","2"
"38-840 Napaskiak","51","14","0","2","1"
"38-842 Newtok","27","19","0","4","6"
"38-844 Nightmute","12","7","2","10","3"
"38-846 Nunapitchuk","50","12","0","35","1"
"38-848 Quinhagak","72","17","1","34","10"
"38-852 Toksook Bay","107","31","3","31","8"
"38-854 Tuluksak","3","0","0","0","0"
"38-856 Tuntutuliak","74","19","0","22","2"
"38-858 Tununak","53","13","0","11","4"
"39-900 Alakanuk","48","18","0","18","3"
"39-902 Brevig Mission","59","11","1","26","5"
"39-906 Diomede","7","2","0","1","0"
"39-908 Elim","42","31","0","30","0"
"39-910 Emmonak","85","15","3","39","6"
"39-912 Gambell","70","19","2","49","6"
"39-914 Golovin","35","4","0","10","0"
"39-916 Hooper Bay","91","11","2","54","9"
"39-918 Kotlik","62","10","0","37","0"
"39-920 Koyuk","42","14","1","38","5"
"39-921 Marshall","40","14","1","28","3"
"39-922 Mountain Village","78","25","1","25","3"
"39-924 Nome No. 1","165","21","2","113","2"
"39-926 Nome No. 2","322","73","0","181","4"
"39-928 Nunam Iqua","23","2","1","9","2"
"39-930 Pilot Station","67","13","0","9","5"
"39-931 Russian Mission","25","4","2","27","1"
"39-932 Savoonga","115","18","1","21","4"
"39-934 Scammon Bay","61","27","0","13","7"
"39-936 Shaktoolik","25","10","2","19","1"
"39-938 Shishmaref","136","16","2","21","0"
"39-940 St. Mary's","86","6","2","22","1"
"39-942 St. Michael","32","8","3","20","2"
"39-944 Stebbins","38","18","0","14","3"
"39-946 Teller","22","3","0","11","0"
"39-948 Unalakleet","135","18","1","63","4"
"39-950 Wales","5","1","0","2","0"
"39-952 White Mountain","49","4","0","16","0"
"40-002 Ambler","20","7","3","13","1"
"40-004 Anaktuvuk Pass","29","6","2","20","1"
"40-006 Atqasuk","11","6","1","18","1"
"40-008 Utqiagvik","125","20","0","104","0"
"40-010 Browerville","353","63","3","220","8"
"40-012 Buckland","47","10","0","25","2"
"40-014 Deering","21","8","0","7","1"
"40-016 Kaktovik","16","5","0","52","0"
"40-018 Kiana","24","0","1","35","0"
"40-020 Kivalina","22","5","1","32","2"
"40-022 Kobuk","21","2","0","14","1"
"40-024 Kotzebue","328","72","6","163","5"
"40-026 Noatak","32","18","2","49","4"
"40-028 Noorvik","37","15","2","42","0"
"40-030 Nuiqsut","19","3","2","16","4"
"40-032 Point Hope","42","2","1","75","0"
"40-034 Point Lay","12","7","0","11","0"
"40-036 Selawik","30","7","0","39","2"
"40-038 Shungnak","31","1","0","14","4"
"40-040 Wainwright","41","13","0","74","1"
"District 1 - Absentee","1377","114","15","1528","9"
"District 1 - Early Voting","14","3","0","3","0"
"District 1  - Question","193","44","2","256","3"
"District 10 - Absentee","1190","58","22","699","3"
"District 10 - Early Voting","736","53","4","760","4"
"District 10  - Question","111","20","2","123","2"
"District 11 - Absentee","1567","80","31","878","3"
"District 11 - Early Voting","855","61","9","855","4"
"District 11  - Question","105","19","0","111","3"
"District 12 - Absentee","1277","78","9","615","4"
"District 12 - Early Voting","843","59","2","695","1"
"District 12  - Question","120","24","3","90","3"
"District 13 - Absentee","1082","60","9","509","0"
"District 13 - Early Voting","676","71","7","635","3"
"District 13  - Question","149","34","2","156","5"
"District 14 - Absentee","1334","83","10","426","8"
"District 14 - Early Voting","994","78","6","552","5"
"District 14  - Question","213","44","3","165","9"
"District 15 - Absentee","1299","66","17","762","1"
"District 15 - Early Voting","837","61","5","839","1"
"District 15  - Question","123","30","3","124","3"
"District 16 - Absentee","1554","63","12","626","3"
"District 16 - Early Voting","1102","67","10","654","4"
"District 16  - Question","139","23","1","136","3"
"District 17 - Absentee","1637","79","12","532","9"
"District 17 - Early Voting","1453","86","4","550","12"
"District 17  - Question","217","31","4","133","14"
"District 18 - Absentee","772","87","5","705","2"
"District 18 - Early Voting","263","33","0","211","1"
"District 18  - Question","262","94","3","472","4"
"District 19 - Absentee","815","52","3","261","13"
"District 19 - Early Voting","535","44","2","245","4"
"District 19  - Question","200","35","3","150","13"
"District 2 - Absentee","2536","186","25","1908","18"
"District 2 - Early Voting","43","5","0","27","1"
"District 2  - Question","122","22","2","121","5"
"District 20 - Absentee","1187","75","6","535","3"
"District 20 - Early Voting","719","64","3","510","4"
"District 20  - Question","185","44","2","134","8"
"District 21 - Absentee","1626","92","7","746","4"
"District 21 - Early Voting","824","58","4","649","6"
"District 21  - Question","199","49","4","140","10"
"District 22 - Absentee","732","71","7","407","8"
"District 22 - Early Voting","468","48","3","397","7"
"District 22  - Question","139","42","3","125","5"
"District 23 - Absentee","1407","123","15","1190","3"
"District 23 - Early Voting","1297","151","12","2051","6"
"District 23  - Question","121","34","0","168","1"
"District 24 - Absentee","928","105","14","1000","3"
"District 24 - Early Voting","1038","147","12","2056","7"
"District 24  - Question","102","35","4","194","0"
"District 25 - Absentee","686","70","13","820","8"
"District 25 - Early Voting","1174","161","9","2078","4"
"District 25  - Question","114","44","2","273","4"
"District 26 - Absentee","461","76","5","837","8"
"District 26 - Early Voting","554","133","7","1999","5"
"District 26  - Question","89","48","2","285","2"
"District 27 - Absentee","423","78","6","803","1"
"District 27 - Early Voting","605","151","5","1975","4"
"District 27  - Question","86","72","2","333","4"
"District 28 - Absentee","500","80","4","807","2"
"District 28 - Early Voting","738","166","12","2126","3"
"District 28  - Question","94","45","2","294","2"
"District 29 - Absentee","792","94","14","1121","6"
"District 29 - Early Voting","648","163","10","1984","7"
"District 29  - Question","97","42","5","240","2"
"District 3 - Absentee","1786","88","8","800","3"
"District 3 - Early Voting","2112","92","14","1338","4"
"District 3  - Question","161","22","1","121","3"
"District 31 - Absentee","600","59","14","492","3"
"District 31 - Early Voting","1025","122","10","794","16"
"District 31  - Question","145","38","2","140","3"
"District 32 - Absentee","444","79","5","483","4"
"District 32 - Early Voting","431","83","4","571","5"
"District 32  - Question","220","160","4","456","2"
"District 33 - Absentee","506","84","5","671","1"
"District 33 - Early Voting","470","113","4","1098","8"
"District 33  - Question","74","44","0","184","3"
"District 34 - Absentee","791","81","16","675","5"
"District 34 - Early Voting","1145","143","7","1239","11"
"District 34  - Question","197","84","4","397","1"
"District 35 - Absentee","856","63","5","492","5"
"District 35 - Early Voting","1550","107","8","997","8"
"District 35  - Question","130","32","1","162","1"
"District 38 - Absentee","356","29","4","143","4"
"District 38 - Early Voting","21","4","0","5","0"
"District 38  - Question","124","37","2","102","5"
"District 4 - Absentee","1284","42","8","333","1"
"District 4 - Early Voting","2747","108","15","978","8"
"District 4  - Question","225","42","5","151","4"
"District 40 - Absentee","252","26","4","165","2"
"District 40 - Early Voting","27","2","1","15","1"
"District 40  - Question","106","34","2","106","4"
"District 5 - Absentee","1554","145","28","1404","10"
"District 5 - Early Voting","28","2","0","32","0"
"District 5  - Question","112","37","1","214","3"
"District 6 - Absentee","1243","84","21","1038","3"
"District 6 - Early Voting","1871","123","14","2060","1"
"District 6  - Question","101","24","1","214","0"
"District 7 - Absentee","587","76","8","1033","3"
"District 7 - Early Voting","1010","189","20","2416","10"
"District 7  - Question","62","39","2","193","1"
"District 8 - Absentee","821","107","16","1323","3"
"District 8 - Early Voting","695","171","11","2293","8"
"District 8  - Question","34","21","1","141","0"
"District 9 - Absentee","2041","87","31","1138","3"
"District 9 - Early Voting","1065","74","8","1011","4"
"District 9  - Question","116","28","1","108","0"
"HD99 Fed Overseas Absentee","342","13","0","46","0"
"House District 30 - Judicial District 3","1239","225","28","2873","15"
"House District 30 - Judicial District 4","292","17","1","232","2"
"House District 36 - Judicial District 3","277","36","7","400","1"
"House District 36 - Judicial District 4","1215","140","18","1379","13"
"House District 37 - Judicial District 3","603","80","6","541","11"
"House District 37 - Judicial District 4","106","14","1","76","2"
"House District 39 - Judicial District 2","437","68","7","258","6"
"House District 39 - Judicial District 4","65","20","0","43","4"
"Total","150440","19929","1888","167250","1271"
