"1","Hafner","Howe","Blank","Exhausted","Overvote"
"16-450 West Anchorage No. 1","137","63","7","453","0"
"16-455 West Anchorage No. 2","198","123","3","472","3"
"16-460 West Anchorage No. 3","224","142","13","673","2"
"16-465 West Anchorage No. 4","111","84","7","334","0"
"16-470 West Anchorage No. 5","160","140","5","604","1"
"16-475 West Anchorage No. 6","132","102","7","529","0"
"16-480 West Anchorage No. 7","119","124","12","363","2"
"17-505 Downtown Anchorage No. 1","65","41","5","236","0"
"17-510 Downtown Anchorage No. 2","93","63","2","335","1"
"17-515 Downtown Anchorage No. 3","76","35","1","235","0"
"17-520 Downtown Anchorage No. 4","159","99","3","371","4"
"17-525 Downtown Anchorage No. 5","104","75","12","240","2"
"17-530 Downtown Anchorage No. 6","72","62","8","171","3"
"17-535 Downtown Anchorage No. 7","90","86","11","260","0"
"18-550 Government Hill","77","66","11","262","3"
"18-555 JBER No.1","97","186","25","524","0"
"18-556 JBER No.2","40","63","11","124","0"
"18-560 North Muldoon","50","52","6","242","1"
"18-565 Ship Creek","24","14","4","44","0"
"19-605 Airport Heights No. 1","164","113","9","438","0"
"19-610 Airport Heights No. 2","85","103","14","516","5"
"19-615 Mountainview No. 1","75","99","8","218","2"
"19-620 Mountainview No. 2","54","83","8","232","3"
"19-625 South Mountainview","55","80","14","312","1"
"20-650 University No. 1","77","54","10","125","4"
"20-655 University No. 2","189","150","16","563","2"
"20-660 University No. 3","221","128","10","556","4"
"20-665 University No. 4","100","72","9","246","0"
"20-670 University No. 5","289","199","18","798","8"
"21-705 East Anchorage No. 1","113","98","9","471","3"
"21-710 East Anchorage No. 2","141","147","3","510","3"
"21-715 East Anchorage No. 3","202","192","16","704","3"
"21-720 East Anchorage No. 4","145","144","11","556","2"
"21-725 East Anchorage No. 5","226","209","8","772","2"
"22-750 Northeast Anchorage No. 1","164","178","14","466","4"
"22-755 Northeast Anchorage No. 2","160","156","13","430","7"
"22-760 Northeast Anchorage No. 3","171","147","14","558","3"
"22-765 Northeast Anchorage No. 4","108","123","11","327","5"
"23-805 Chugach Park No. 1","123","242","16","685","0"
"23-810 Eagle River No. 1","82","137","5","407","1"
"23-815 Eagle River No. 2","97","167","6","411","0"
"23-820 Hiland","72","142","9","415","0"
"23-825 Meadow Creek No. 1","113","155","5","449","1"
"23-830 Meadow Creek No. 2","39","90","7","287","0"
"24-850 Chugach Park No. 2","75","91","6","505","2"
"24-855 Chugiak","39","79","4","246","0"
"24-860 Eagle River No. 3","84","121","6","402","1"
"24-865 Eklutna","93","119","9","421","0"
"24-870 Fire Lake","84","148","7","484","2"
"24-875 Peters Creek No. 1","105","181","12","683","2"
"24-880 Peters Creek No. 2","63","106","5","352","0"
"25-305 Butte","122","250","24","810","2"
"25-310 Greater Palmer","69","117","8","348","0"
"25-315 Lazy Mountain","81","154","5","547","1"
"25-320 Palmer City No. 1","76","101","13","361","0"
"25-325 Palmer City No. 2","97","132","10","321","2"
"25-330 Springer Loop","75","158","13","503","2"
"25-335 Walby","67","147","15","440","1"
"26-350 Fairview No. 1","33","116","11","337","1"
"26-355 Fairview No. 2","42","85","10","255","2"
"26-360 Knik Goose Bay No. 1","95","256","33","792","0"
"26-365 Knik Goose Bay No. 2","62","174","16","531","0"
"26-370 Knik Goose Bay No. 3","41","119","19","331","0"
"26-375 Mat-Su Campus","53","133","10","435","2"
"26-380 Snowshoe","91","211","20","665","0"
"27-405 Foothills","58","156","10","492","0"
"27-410 Meadow Lakes No. 1","85","240","11","730","1"
"27-415 Meadow Lakes No. 2","52","198","19","620","7"
"27-420 Wasilla No. 1","74","165","16","485","2"
"27-425 Wasilla No. 2","77","211","18","637","0"
"28-450 Lakes No. 1","68","121","5","396","0"
"28-455 Lakes No. 2","45","72","5","284","0"
"28-460 Seldon No. 1","74","162","21","693","3"
"28-465 Seldon No. 2","115","231","12","591","1"
"28-470 Seward Meridian","33","75","6","289","0"
"28-475 Trunk","100","167","16","473","3"
"28-480 Wasilla Lake","50","93","1","251","0"
"29-505 Farm Loop","64","237","11","664","1"
"29-510 Fishhook","132","264","29","971","2"
"29-515 Kings Lake","72","201","15","597","0"
"29-520 Lakes No. 3","41","69","6","237","0"
"29-525 Sheep Mountain","4","20","2","124","0"
"29-530 Sutton","44","106","11","342","1"
"29-535 Valdez No. 1","52","89","9","325","0"
"29-540 Valdez No. 2","31","37","4","151","1"
"29-545 Valdez No. 3","46","71","6","256","0"
"30-550 Anderson/Clear","8","23","4","102","0"
"30-555 Big Lake","87","258","30","815","4"
"30-560 Cantwell","18","16","1","51","0"
"30-565 Denali Park","23","12","0","37","0"
"30-570 East Schrock","14","27","0","49","0"
"30-575 Healy","47","89","6","232","0"
"30-580 Houston","39","131","15","339","1"
"30-585 Knik Goose Bay No. 4","103","240","23","749","0"
"30-590 Trapper Creek","8","17","6","87","1"
"30-595 Susitna","49","97","10","341","0"
"30-600 Talkeetna","57","42","2","159","0"
"30-605 Willow","77","199","28","685","7"
"31-446 Aurora","132","157","10","593","0"
"31-455 Fairbanks No. 1","146","169","13","610","3"
"31-480 Fairbanks No. 2","139","206","6","562","1"
"31-485 Fairbanks No. 3","124","218","22","505","5"
"32-355 Fairbanks No. 4","160","151","9","483","1"
"32-365 Fairbanks No. 5","108","112","8","361","0"
"32-375 Fort Wainwright","60","106","14","196","1"
"32-385 Badger No. 2","127","292","19","740","2"
"33-130 Badger No. 1","129","289","16","745","4"
"33-135 Chena Lakes","92","298","11","778","0"
"33-155 Moose Creek","16","36","2","94","0"
"33-165 Newby","117","296","15","820","1"
"33-175 North Pole","79","184","13","462","0"
"33-183 Plack","92","293","22","731","0"
"34-235 Eielson","41","99","12","180","0"
"34-238 Eielson Farm Road","3","10","0","45","0"
"34-240 Farmers Loop","167","156","12","576","0"
"34-260 Salcha","33","118","11","373","1"
"34-263 Steele Creek","114","242","8","680","5"
"34-265 Steese","128","243","22","633","1"
"34-270 Summit","103","218","15","542","2"
"34-280 Two Rivers","38","111","13","341","0"
"35-580 Airport","32","73","6","223","1"
"35-582 Chena","222","268","19","921","2"
"35-584 Ester","135","100","6","326","0"
"35-586 Geist","104","113","5","358","0"
"35-587 Lakeview","10","33","2","78","0"
"35-592 Shanly","75","100","7","249","1"
"35-595 University Hills","139","128","7","346","0"
"35-596 University West","222","275","6","788","0"
"36-001 Goldstream No. 1","118","138","8","386","1"
"36-002 Goldstream No. 2","192","140","10","435","1"
"36-010 Allakaket","12","6","0","22","0"
"36-014 Anvik","6","5","0","14","0"
"36-018 Arctic Village","7","2","0","44","0"
"36-022 Beaver","5","0","0","11","1"
"36-026 Bettles","1","4","0","6","0"
"36-034 Central","1","7","1","32","0"
"36-038 Chistochina","2","12","2","55","0"
"36-042 Circle","4","3","1","12","0"
"36-046 Copper Center","36","80","3","233","2"
"36-050 Delta Junction","19","90","10","237","2"
"36-054 Deltana","70","256","19","852","1"
"36-058 Dot Lake","2","6","2","39","0"
"36-062 Eagle","3","8","2","56","0"
"36-066 Fort Yukon","8","6","3","121","2"
"36-070 Gakona","11","15","5","79","0"
"36-074 Galena","19","31","3","93","0"
"36-078 Glennallen","20","51","5","103","0"
"36-082 Grayling","12","16","0","26","1"
"36-086 Holy Cross","9","10","0","21","1"
"36-090 Hughes","2","3","1","24","0"
"36-094 Huslia","13","11","6","64","1"
"36-098 Kaltag","9","5","2","24","0"
"36-102 Kenny Lake","16","40","3","126","0"
"36-106 Koyukuk","5","5","1","18","0"
"36-110 Manley","3","4","1","39","0"
"36-114 McGrath","6","17","5","66","0"
"36-118 Mentasta","2","8","0","29","0"
"36-122 Minto","9","11","2","29","0"
"36-126 Nenana","34","73","2","204","1"
"36-130 Nikolai","4","3","3","17","0"
"36-134 Northway","17","10","1","43","0"
"36-138 Nulato","10","1","3","62","1"
"36-142 Ruby","0","2","0","28","0"
"36-146 Shageluk","11","3","1","8","0"
"36-162 Tanana","8","3","1","66","1"
"36-166 Tetlin","4","4","0","22","0"
"36-170 Tok","42","98","16","366","0"
"36-174 Venetie","5","0","1","39","0"
"37-700 Akutan","7","9","2","31","0"
"37-702 Aleknagik","13","15","2","36","3"
"37-704 Aleutians No. 1","3","3","0","13","0"
"37-706 Aleutians No. 2","63","62","14","393","2"
"37-707 Aniak","16","19","5","66","1"
"37-708 Chignik","2","4","1","9","0"
"37-709 Chuathbaluk","4","6","0","9","0"
"37-710 Clark's Point","5","4","0","10","0"
"37-712 Cold Bay","2","2","0","16","0"
"37-713 Crooked Creek","3","2","0","14","0"
"37-714 Dillingham","86","81","5","376","2"
"37-716 Egegik","0","1","2","7","1"
"37-718 Ekwok","2","5","1","25","1"
"37-719 Goodnews Bay","18","20","0","19","1"
"37-720 King Cove","10","8","4","89","0"
"37-722 King Salmon","13","23","7","84","1"
"37-724 Koliganek","9","5","1","57","0"
"37-726 Lake Iliamna No. 1","20","11","2","69","1"
"37-728 Lake Iliamna No. 2","13","23","2","37","3"
"37-730 Levelock","3","2","0","19","0"
"37-731 Lower Kalskag","14","22","1","24","0"
"37-732 Manokotak","20","22","3","57","2"
"37-734 Naknek","12","27","3","100","0"
"37-736 New Stuyahok","1","1","1","50","0"
"37-738 Nondalton","13","7","2","21","1"
"37-740 Pedro Bay","1","0","0","13","0"
"37-742 Port Heiden","3","2","0","19","0"
"37-744 Sand Point","8","15","4","96","0"
"37-746 Sleetmute","3","13","0","8","0"
"37-748 South Naknek","2","3","2","11","0"
"37-750 St. George Island","1","1","0","5","0"
"37-752 St. Paul Island","15","14","3","74","1"
"37-754 Togiak","31","39","4","66","9"
"37-756 Tyonek","3","2","0","32","0"
"37-758 Upper Kalskag","5","16","1","32","3"
"38-800 Akiachak","29","39","0","92","1"
"38-802 Akiak","8","21","0","61","0"
"38-806 Atmautluak","8","5","1","30","1"
"38-808 Bethel No. 1","114","139","12","316","0"
"38-810 Bethel No. 2","103","141","4","325","2"
"38-812 Chefornak","10","19","1","66","0"
"38-818 Eek","6","20","1","67","1"
"38-822 Kasigluk","16","19","0","29","1"
"38-824 Kipnuk","21","30","1","58","3"
"38-826 Kongiganak","26","34","2","29","3"
"38-828 Kwethluk","45","42","0","46","0"
"38-830 Kwigillingok","10","30","3","35","3"
"38-836 Mekoryuk","11","15","1","40","2"
"38-838 Napakiak","11","15","0","45","0"
"38-840 Napaskiak","22","25","1","19","1"
"38-842 Newtok","20","21","1","10","4"
"38-844 Nightmute","2","10","2","20","0"
"38-846 Nunapitchuk","17","21","0","60","0"
"38-848 Quinhagak","28","30","0","74","2"
"38-852 Toksook Bay","37","65","6","66","6"
"38-854 Tuluksak","0","2","0","1","0"
"38-856 Tuntutuliak","21","39","0","56","1"
"38-858 Tununak","16","31","0","31","3"
"39-900 Alakanuk","16","30","2","37","2"
"39-902 Brevig Mission","10","30","2","60","0"
"39-906 Diomede","3","4","0","3","0"
"39-908 Elim","20","46","2","35","0"
"39-910 Emmonak","12","40","3","89","4"
"39-912 Gambell","17","45","11","71","2"
"39-914 Golovin","3","21","1","24","0"
"39-916 Hooper Bay","15","33","3","110","6"
"39-918 Kotlik","13","15","1","80","0"
"39-920 Koyuk","14","27","1","56","2"
"39-921 Marshall","15","29","2","39","1"
"39-922 Mountain Village","22","52","0","57","1"
"39-924 Nome No. 1","35","67","7","194","0"
"39-926 Nome No. 2","96","156","7","318","3"
"39-928 Nunam Iqua","8","10","1","18","0"
"39-930 Pilot Station","20","38","1","34","1"
"39-931 Russian Mission","6","10","1","42","0"
"39-932 Savoonga","38","53","4","60","4"
"39-934 Scammon Bay","32","34","1","37","4"
"39-936 Shaktoolik","9","13","1","34","0"
"39-938 Shishmaref","28","43","3","100","1"
"39-940 St. Mary's","17","25","0","75","0"
"39-942 St. Michael","6","21","4","34","0"
"39-944 Stebbins","12","37","0","22","2"
"39-946 Teller","6","14","0","16","0"
"39-948 Unalakleet","31","51","4","133","2"
"39-950 Wales","1","2","0","5","0"
"39-952 White Mountain","15","20","0","34","0"
"40-002 Ambler","17","8","1","18","0"
"40-004 Anaktuvuk Pass","8","11","2","37","0"
"40-006 Atqasuk","2","13","0","20","2"
"40-008 Utqiagvik","55","47","2","145","0"
"40-010 Browerville","151","143","16","332","5"
"40-012 Buckland","18","25","2","37","2"
"40-014 Deering","11","13","0","12","1"
"40-016 Kaktovik","4","14","4","51","0"
"40-018 Kiana","1","2","2","55","0"
"40-020 Kivalina","8","14","2","37","1"
"40-022 Kobuk","4","4","3","27","0"
"40-024 Kotzebue","132","134","13","292","3"
"40-026 Noatak","24","34","1","45","1"
"40-028 Noorvik","13","26","1","56","0"
"40-030 Nuiqsut","9","10","1","22","2"
"40-032 Point Hope","8","12","2","98","0"
"40-034 Point Lay","9","8","1","12","0"
"40-036 Selawik","18","14","3","41","2"
"40-038 Shungnak","13","8","0","28","1"
"40-040 Wainwright","20","29","0","77","3"
"District 1 - Absentee","419","365","64","2160","4"
"District 1 - Early Voting","7","6","0","7","0"
"District 1  - Question","53","91","22","255","0"
"District 10 - Absentee","365","209","19","1367","2"
"District 10 - Early Voting","255","209","20","1071","2"
"District 10  - Question","29","38","7","142","4"
"District 11 - Absentee","427","306","25","1784","1"
"District 11 - Early Voting","249","249","9","1275","2"
"District 11  - Question","30","48","1","118","1"
"District 12 - Absentee","415","216","38","1290","2"
"District 12 - Early Voting","298","189","4","1106","3"
"District 12  - Question","42","49","6","116","2"
"District 13 - Absentee","354","187","17","1068","2"
"District 13 - Early Voting","293","210","14","874","1"
"District 13  - Question","50","66","9","175","4"
"District 14 - Absentee","404","208","27","1192","5"
"District 14 - Early Voting","336","199","34","1061","5"
"District 14  - Question","73","95","20","200","4"
"District 15 - Absentee","393","226","22","1482","1"
"District 15 - Early Voting","304","202","11","1223","3"
"District 15  - Question","33","70","5","133","0"
"District 16 - Absentee","486","218","23","1513","3"
"District 16 - Early Voting","386","222","11","1215","3"
"District 16  - Question","57","54","14","140","1"
"District 17 - Absentee","477","220","49","1484","4"
"District 17 - Early Voting","470","234","41","1353","7"
"District 17  - Question","77","72","18","175","6"
"District 18 - Absentee","275","227","54","923","1"
"District 18 - Early Voting","99","75","7","325","2"
"District 18  - Question","33","46","38","125","1"
"District 19 - Absentee","261","156","24","677","7"
"District 19 - Early Voting","175","136","10","507","2"
"District 19  - Question","48","75","15","196","4"
"District 2 - Absentee","771","619","126","3121","15"
"District 2 - Early Voting","11","16","4","45","0"
"District 2  - Question","24","48","13","88","2"
"District 20 - Absentee","378","199","25","1175","4"
"District 20 - Early Voting","293","180","12","813","2"
"District 20  - Question","68","79","17","149","3"
"District 21 - Absentee","529","283","38","1602","7"
"District 21 - Early Voting","300","180","18","1038","5"
"District 21  - Question","73","86","9","181","5"
"District 22 - Absentee","264","176","20","742","6"
"District 22 - Early Voting","179","127","16","598","3"
"District 22  - Question","41","75","12","130","2"
"District 23 - Absentee","411","415","67","1801","1"
"District 23 - Early Voting","411","535","28","2542","1"
"District 23  - Question","28","71","5","134","1"
"District 24 - Absentee","307","306","46","1362","2"
"District 24 - Early Voting","377","446","30","2405","2"
"District 24  - Question","37","70","10","161","2"
"District 25 - Absentee","226","221","45","1082","5"
"District 25 - Early Voting","412","465","42","2506","1"
"District 25  - Question","33","95","14","197","2"
"District 26 - Absentee","162","212","31","959","0"
"District 26 - Early Voting","224","426","51","1996","1"
"District 26  - Question","33","93","16","215","0"
"District 27 - Absentee","157","211","32","883","1"
"District 27 - Early Voting","207","507","38","1983","5"
"District 27  - Question","31","128","17","239","2"
"District 28 - Absentee","186","234","24","924","3"
"District 28 - Early Voting","293","477","33","2239","3"
"District 28  - Question","46","93","18","227","0"
"District 29 - Absentee","258","328","34","1365","1"
"District 29 - Early Voting","263","420","36","2093","0"
"District 29  - Question","37","95","17","180","2"
"District 3 - Absentee","521","339","40","1741","4"
"District 3 - Early Voting","525","437","38","2556","4"
"District 3  - Question","40","57","11","129","5"
"District 31 - Absentee","171","199","21","685","5"
"District 31 - Early Voting","367","340","28","1218","14"
"District 31  - Question","37","70","9","141","3"
"District 32 - Absentee","162","153","30","613","1"
"District 32 - Early Voting","205","192","19","674","4"
"District 32  - Question","31","65","10","136","0"
"District 33 - Absentee","180","226","38","794","3"
"District 33 - Early Voting","193","321","19","1156","4"
"District 33  - Question","22","59","10","121","0"
"District 34 - Absentee","252","220","51","1018","2"
"District 34 - Early Voting","420","453","36","1633","3"
"District 34  - Question","29","104","22","163","2"
"District 35 - Absentee","285","183","20","888","1"
"District 35 - Early Voting","574","412","26","1652","6"
"District 35  - Question","42","78","12","151","1"
"District 38 - Absentee","110","98","9","309","3"
"District 38 - Early Voting","7","8","0","15","0"
"District 38  - Question","39","62","7","121","3"
"District 4 - Absentee","374","143","22","1093","2"
"District 4 - Early Voting","881","366","38","2561","10"
"District 4  - Question","83","79","12","190","2"
"District 40 - Absentee","86","79","10","267","0"
"District 40 - Early Voting","7","8","2","29","0"
"District 40  - Question","39","42","9","117","0"
"District 5 - Absentee","486","471","66","2051","10"
"District 5 - Early Voting","9","12","1","40","0"
"District 5  - Question","37","76","8","143","3"
"District 6 - Absentee","397","245","62","1649","4"
"District 6 - Early Voting","621","465","56","2927","0"
"District 6  - Question","21","50","35","154","1"
"District 7 - Absentee","207","247","37","1178","6"
"District 7 - Early Voting","331","576","69","2661","8"
"District 7  - Question","21","71","22","113","1"
"District 8 - Absentee","313","286","36","1594","4"
"District 8 - Early Voting","284","436","41","2413","4"
"District 8  - Question","6","34","9","95","0"
"District 9 - Absentee","553","369","42","2320","4"
"District 9 - Early Voting","313","247","16","1583","3"
"District 9  - Question","33","62","4","110","0"
"HD99 Fed Overseas Absentee","149","32","15","201","1"
"House District 30 - Judicial District 3","422","728","107","3042","8"
"House District 30 - Judicial District 4","113","76","5","338","2"
"House District 36 - Judicial District 3","99","119","6","473","0"
"House District 36 - Judicial District 4","449","446","45","1730","13"
"House District 37 - Judicial District 3","177","210","32","748","10"
"House District 37 - Judicial District 4","32","29","5","124","1"
"House District 39 - Judicial District 2","141","156","17","422","6"
"House District 39 - Judicial District 4","20","33","1","61","1"
"Total","50543","57136","5788","221598","788"
