"1","Gara/Cook","Walker/Drygas","Blank","Exhausted","Overvote"
"20-665 University No. 4","161","107","1","96","0"
"20-670 University No. 5","466","309","5","451","2"
"21-705 East Anchorage No. 1","297","174","5","270","3"
"21-710 East Anchorage No. 2","262","164","5","354","1"
"21-715 East Anchorage No. 3","395","212","9","396","6"
"21-720 East Anchorage No. 4","313","217","2","309","0"
"21-725 East Anchorage No. 5","409","299","4","435","4"
"22-750 Northeast Anchorage No. 1","295","139","6","264","0"
"22-755 Northeast Anchorage No. 2","254","136","4","255","0"
"22-760 Northeast Anchorage No. 3","335","163","7","296","0"
"22-765 Northeast Anchorage No. 4","187","114","3","169","1"
"23-805 Chugach Park No. 1","306","350","7","582","2"
"23-810 Eagle River No. 1","167","184","7","418","0"
"23-815 Eagle River No. 2","202","165","6","358","1"
"23-820 Hiland","153","176","6","363","0"
"23-825 Meadow Creek No. 1","219","201","7","442","0"
"23-830 Meadow Creek No. 2","124","109","6","279","0"
"24-850 Chugach Park No. 2","148","204","5","457","2"
"24-855 Chugiak","83","86","0","200","1"
"24-860 Eagle River No. 3","149","151","3","308","0"
"24-865 Eklutna","189","144","2","435","1"
"24-870 Fire Lake","181","210","6","438","1"
"24-875 Peters Creek No. 1","201","229","4","653","0"
"24-880 Peters Creek No. 2","121","126","9","334","3"
"25-305 Butte","227","246","9","733","3"
"25-310 Greater Palmer","136","127","2","318","0"
"25-315 Lazy Mountain","167","146","11","453","0"
"25-320 Palmer City No. 1","179","140","2","300","1"
"25-325 Palmer City No. 2","140","96","5","265","0"
"25-330 Springer Loop","180","156","2","413","0"
"25-335 Walby","151","136","4","433","0"
"26-350 Fairview No. 1","62","82","3","369","0"
"26-355 Fairview No. 2","78","81","3","203","1"
"26-360 Knik Goose Bay No. 1","186","166","16","666","6"
"26-365 Knik Goose Bay No. 2","119","105","6","451","0"
"26-370 Knik Goose Bay No. 3","71","62","9","270","1"
"26-375 Mat-Su Campus","110","144","4","383","2"
"26-380 Snowshoe","151","168","4","662","2"
"27-405 Foothills","111","99","11","419","1"
"27-410 Meadow Lakes No. 1","164","148","8","650","4"
"27-415 Meadow Lakes No. 2","131","103","9","510","2"
"27-420 Wasilla No. 1","139","117","6","455","1"
"27-425 Wasilla No. 2","164","180","11","627","3"
"28-450 Lakes No. 1","98","97","6","351","3"
"28-455 Lakes No. 2","81","72","0","284","1"
"28-460 Seldon No. 1","128","112","2","526","2"
"28-465 Seldon No. 2","240","148","8","631","1"
"28-470 Seward Meridian","84","75","5","260","0"
"28-475 Trunk","157","151","7","439","2"
"28-480 Wasilla Lake","69","50","4","261","0"
"29-505 Farm Loop","169","185","3","647","2"
"29-510 Fishhook","263","260","4","774","2"
"29-515 Kings Lake","154","133","3","598","2"
"29-520 Lakes No. 3","85","51","2","240","1"
"29-525 Sheep Mountain","19","17","0","92","0"
"29-530 Sutton","105","70","2","291","0"
"29-535 Valdez No. 1","60","213","3","141","0"
"29-540 Valdez No. 2","28","119","1","84","0"
"29-545 Valdez No. 3","52","154","6","141","0"
"30-550 Anderson/Clear","19","28","4","71","0"
"30-555 Big Lake","193","196","9","722","2"
"30-560 Cantwell","24","28","1","34","0"
"30-565 Denali Park","56","15","2","6","0"
"30-570 East Schrock","24","11","0","61","0"
"30-575 Healy","73","98","2","161","0"
"30-580 Houston","109","100","10","346","0"
"30-585 Knik Goose Bay No. 4","164","142","11","656","1"
"30-590 Trapper Creek","26","26","3","106","0"
"30-595 Susitna","96","85","7","287","0"
"30-600 Talkeetna","107","103","3","107","0"
"30-605 Willow","213","159","8","558","3"
"31-446 Aurora","207","301","9","338","0"
"31-455 Fairbanks No. 1","223","360","11","317","1"
"31-480 Fairbanks No. 2","208","373","8","285","0"
"31-485 Fairbanks No. 3","215","256","11","247","2"
"32-355 Fairbanks No. 4","163","239","7","259","0"
"32-365 Fairbanks No. 5","109","215","4","224","0"
"32-375 Fort Wainwright","40","42","3","47","0"
"32-385 Badger No. 2","175","270","8","548","0"
"33-130 Badger No. 1","165","250","3","551","0"
"33-135 Chena Lakes","140","205","3","603","1"
"33-155 Moose Creek","18","20","2","76","0"
"33-165 Newby","184","266","2","687","1"
"33-175 North Pole","98","124","5","306","1"
"33-183 Plack","149","219","6","582","0"
"34-235 Eielson","38","53","1","90","0"
"34-238 Eielson Farm Road","9","16","0","33","0"
"34-240 Farmers Loop","240","382","7","250","0"
"34-260 Salcha","61","110","3","255","1"
"34-263 Steele Creek","180","328","8","489","1"
"34-265 Steese","187","336","10","504","1"
"34-270 Summit","153","303","6","355","0"
"34-280 Two Rivers","89","135","0","248","2"
"35-580 Airport","55","97","3","137","0"
"35-582 Chena","265","550","17","488","2"
"35-584 Ester","161","245","2","170","0"
"35-586 Geist","116","236","2","183","0"
"35-587 Lakeview","28","32","0","56","0"
"35-592 Shanly","118","161","0","106","0"
"35-595 University Hills","180","269","2","137","0"
"35-596 University West","301","492","7","411","0"
"36-001 Goldstream No. 1","145","271","4","214","1"
"36-002 Goldstream No. 2","193","328","2","174","2"
"36-010 Allakaket","14","29","1","12","0"
"36-014 Anvik","6","12","1","8","0"
"36-018 Arctic Village","16","12","0","4","0"
"36-022 Beaver","8","13","0","3","0"
"36-026 Bettles","5","3","0","8","0"
"36-034 Central","8","10","0","23","0"
"36-038 Chistochina","10","22","0","38","0"
"36-042 Circle","4","8","3","7","0"
"36-046 Copper Center","42","93","4","137","2"
"36-050 Delta Junction","28","57","2","214","0"
"36-054 Deltana","119","194","6","728","2"
"36-058 Dot Lake","0","5","1","35","0"
"36-062 Eagle","4","9","0","31","1"
"36-066 Fort Yukon","39","53","4","33","0"
"36-070 Gakona","7","31","0","41","0"
"36-074 Galena","36","62","2","32","0"
"36-078 Glennallen","20","36","0","92","0"
"36-082 Grayling","8","24","1","16","1"
"36-086 Holy Cross","4","18","0","8","1"
"36-090 Hughes","6","16","2","8","0"
"36-094 Huslia","16","41","0","21","0"
"36-098 Kaltag","11","18","1","17","0"
"36-102 Kenny Lake","25","52","0","76","0"
"36-106 Koyukuk","10","16","0","7","0"
"36-110 Manley","9","5","0","31","0"
"36-114 McGrath","16","21","0","45","0"
"36-118 Mentasta","6","9","1","15","0"
"36-122 Minto","8","23","1","13","0"
"36-126 Nenana","55","90","3","123","0"
"36-130 Nikolai","11","18","0","10","0"
"36-134 Northway","16","22","3","35","0"
"36-138 Nulato","15","42","0","10","0"
"36-142 Ruby","3","16","0","16","0"
"36-146 Shageluk","3","11","0","8","0"
"36-162 Tanana","17","32","4","9","1"
"36-166 Tetlin","10","10","0","4","0"
"36-170 Tok","53","91","6","321","1"
"36-174 Venetie","9","15","1","19","0"
"37-700 Akutan","15","17","3","11","2"
"37-702 Aleknagik","13","16","4","18","0"
"37-704 Aleutians No. 1","2","10","2","6","0"
"37-706 Aleutians No. 2","108","136","4","182","3"
"37-707 Aniak","24","47","2","22","1"
"37-708 Chignik","7","2","0","1","0"
"37-709 Chuathbaluk","8","7","0","6","0"
"37-710 Clark's Point","3","7","0","2","0"
"37-712 Cold Bay","3","8","0","3","0"
"37-713 Crooked Creek","4","7","0","1","0"
"37-714 Dillingham","240","181","8","148","0"
"37-716 Egegik","1","3","0","1","0"
"37-718 Ekwok","12","11","1","10","0"
"37-719 Goodnews Bay","16","27","0","6","0"
"37-720 King Cove","25","45","3","39","0"
"37-722 King Salmon","24","40","2","35","0"
"37-724 Koliganek","23","9","5","20","0"
"37-726 Lake Iliamna No. 1","29","33","4","34","0"
"37-728 Lake Iliamna No. 2","27","16","1","16","0"
"37-730 Levelock","4","3","0","2","0"
"37-731 Lower Kalskag","16","22","6","7","0"
"37-732 Manokotak","31","35","2","12","0"
"37-734 Naknek","34","48","5","45","0"
"37-736 New Stuyahok","54","62","5","27","0"
"37-738 Nondalton","13","19","1","6","1"
"37-740 Pedro Bay","4","1","0","3","0"
"37-742 Port Heiden","7","7","0","9","0"
"37-744 Sand Point","18","44","3","32","0"
"37-746 Sleetmute","6","14","1","5","0"
"37-748 South Naknek","5","6","0","8","0"
"37-752 St. Paul Island","35","35","8","19","0"
"37-754 Togiak","46","46","2","34","0"
"37-756 Tyonek","10","6","2","7","0"
"37-758 Upper Kalskag","10","21","3","15","0"
"38-800 Akiachak","47","34","8","41","1"
"38-802 Akiak","43","35","3","38","0"
"38-806 Atmautluak","23","16","1","5","1"
"38-808 Bethel No. 1","195","187","9","117","0"
"38-810 Bethel No. 2","204","223","12","139","0"
"38-812 Chefornak","35","30","5","24","0"
"38-813 Chevak","48","61","5","30","0"
"38-818 Eek","33","41","1","4","1"
"38-822 Kasigluk","29","37","1","6","0"
"38-824 Kipnuk","42","51","5","24","4"
"38-826 Kongiganak","48","36","1","0","1"
"38-828 Kwethluk","83","38","4","32","1"
"38-830 Kwigillingok","16","22","3","15","0"
"38-836 Mekoryuk","13","32","1","17","1"
"38-838 Napakiak","21","46","3","7","0"
"38-840 Napaskiak","40","49","1","9","0"
"38-842 Newtok","7","13","3","6","0"
"38-844 Nightmute","16","17","5","5","0"
"38-846 Nunapitchuk","53","32","4","23","1"
"38-848 Quinhagak","43","51","4","32","0"
"38-852 Toksook Bay","51","70","8","21","3"
"38-854 Tuluksak","17","32","2","8","1"
"38-856 Tuntutuliak","47","55","4","18","7"
"38-858 Tununak","22","32","7","21","0"
"39-900 Alakanuk","31","46","1","20","1"
"39-902 Brevig Mission","31","63","5","26","0"
"39-906 Diomede","5","3","1","0","3"
"39-908 Elim","20","31","1","24","1"
"39-910 Emmonak","31","58","4","43","2"
"39-912 Gambell","42","44","2","53","1"
"39-914 Golovin","16","17","0","9","0"
"39-916 Hooper Bay","41","70","3","47","0"
"39-918 Kotlik","25","40","2","20","1"
"39-920 Koyuk","20","30","2","28","0"
"39-921 Marshall","36","43","1","16","1"
"39-922 Mountain Village","39","50","2","24","0"
"39-924 Nome No. 1","102","149","5","62","0"
"39-926 Nome No. 2","160","224","7","113","2"
"39-928 Nunam Iqua","12","12","2","4","0"
"39-930 Pilot Station","23","42","4","14","1"
"39-931 Russian Mission","27","26","4","18","0"
"39-932 Savoonga","49","80","4","12","0"
"39-934 Scammon Bay","36","62","2","11","1"
"39-936 Shaktoolik","10","27","0","19","0"
"39-938 Shishmaref","66","72","5","40","0"
"39-940 St. Mary's","45","56","4","16","0"
"39-942 St. Michael","23","34","1","14","1"
"39-944 Stebbins","40","34","0","5","4"
"39-946 Teller","19","13","0","5","0"
"39-948 Unalakleet","54","116","1","34","1"
"39-950 Wales","6","11","1","2","0"
"39-952 White Mountain","16","34","1","10","0"
"40-004 Anaktuvuk Pass","8","26","2","18","0"
"40-006 Atqasuk","3","17","0","11","0"
"40-008 Utqiagvik","66","88","1","50","0"
"40-010 Browerville","127","250","8","134","1"
"40-012 Buckland","20","25","1","32","0"
"40-014 Deering","14","9","0","9","0"
"40-016 Kaktovik","9","36","1","29","0"
"40-020 Kivalina","15","25","1","25","1"
"40-024 Kotzebue","181","207","6","120","1"
"40-026 Noatak","26","42","3","31","0"
"40-030 Nuiqsut","12","24","0","10","0"
"40-032 Point Hope","20","34","0","36","0"
"40-034 Point Lay","7","16","0","6","0"
"40-036 Selawik","21","33","1","26","0"
"40-038 Shungnak","21","20","0","25","0"
"40-040 Wainwright","18","43","3","37","0"
"District 1 - Absentee","442","636","19","646","5"
"District 1 - Early Voting","5","6","0","3","0"
"District 1  - Question","78","105","3","98","0"
"District 10 - Absentee","602","492","17","497","4"
"District 10 - Early Voting","260","249","8","303","2"
"District 10  - Question","41","37","4","42","0"
"District 11 - Absentee","765","598","9","612","2"
"District 11 - Early Voting","317","355","3","402","1"
"District 11  - Question","51","59","4","62","0"
"District 12 - Absentee","685","422","5","326","4"
"District 12 - Early Voting","306","271","1","273","2"
"District 12  - Question","57","40","0","49","1"
"District 13 - Absentee","551","341","5","291","1"
"District 13 - Early Voting","324","161","1","243","1"
"District 13  - Question","35","40","4","51","0"
"District 14 - Absentee","748","411","8","246","3"
"District 14 - Early Voting","486","308","11","244","0"
"District 14  - Question","101","81","6","75","6"
"District 15 - Absentee","695","564","10","483","2"
"District 15 - Early Voting","307","308","8","333","0"
"District 15  - Question","57","60","4","75","0"
"District 16 - Absentee","814","643","7","340","6"
"District 16 - Early Voting","465","419","6","262","1"
"District 16  - Question","52","53","5","62","2"
"District 17 - Absentee","911","515","8","241","2"
"District 17 - Early Voting","685","557","8","297","4"
"District 17  - Question","93","73","7","58","2"
"District 18 - Absentee","299","196","8","220","2"
"District 18 - Early Voting","111","98","3","75","2"
"District 18  - Question","25","20","3","26","0"
"District 19 - Absentee","455","232","9","140","4"
"District 19 - Early Voting","222","130","10","80","3"
"District 19  - Question","59","52","6","56","1"
"District 2 - Absentee","732","1197","27","752","2"
"District 2 - Early Voting","14","24","2","11","0"
"District 2  - Question","36","53","1","49","0"
"District 20 - Absentee","622","359","4","264","3"
"District 20 - Early Voting","299","196","2","188","1"
"District 20  - Question","90","64","3","53","2"
"District 21 - Absentee","885","420","13","441","6"
"District 21 - Early Voting","390","204","4","264","2"
"District 21  - Question","55","31","5","48","0"
"District 22 - Absentee","400","164","3","214","1"
"District 22 - Early Voting","197","87","3","157","0"
"District 22  - Question","53","25","5","26","1"
"District 23 - Absentee","717","507","13","731","1"
"District 23 - Early Voting","394","367","5","616","0"
"District 23  - Question","39","40","1","62","3"
"District 24 - Absentee","466","378","9","582","1"
"District 24 - Early Voting","343","314","6","597","2"
"District 24  - Question","47","70","3","94","0"
"District 25 - Absentee","390","256","8","490","5"
"District 25 - Early Voting","513","418","14","833","1"
"District 25  - Question","61","63","0","143","2"
"District 26 - Absentee","237","191","5","477","5"
"District 26 - Early Voting","291","227","21","879","0"
"District 26  - Question","43","60","5","125","1"
"District 27 - Absentee","244","184","6","419","4"
"District 27 - Early Voting","329","281","10","893","1"
"District 27  - Question","31","56","4","143","0"
"District 28 - Absentee","271","210","1","444","1"
"District 28 - Early Voting","362","299","9","897","4"
"District 28  - Question","51","49","1","144","0"
"District 29 - Absentee","393","377","11","579","4"
"District 29 - Early Voting","343","271","6","835","1"
"District 29  - Question","54","61","8","101","0"
"District 3 - Absentee","610","814","19","344","3"
"District 3 - Early Voting","576","1031","9","456","0"
"District 3  - Question","68","84","5","62","0"
"District 30 - Early Voting - 1","159","112","8","402","1"
"District 30 - Early Voting - 2","16","4","0","5","0"
"District 30 - Question - 1","35","48","11","91","3"
"District 30 - Question - 2","7","14","0","27","1"
"District 31 - Absentee","257","311","8","225","2"
"District 31 - Early Voting","325","408","8","277","3"
"District 31  - Question","43","49","3","39","0"
"District 32 - Absentee","131","169","2","185","1"
"District 32 - Early Voting","105","173","0","175","0"
"District 32  - Question","23","40","1","47","1"
"District 33 - Absentee","182","235","4","342","1"
"District 33 - Early Voting","149","198","2","314","1"
"District 33  - Question","26","44","1","88","2"
"District 34 - Absentee","328","471","11","385","5"
"District 34 - Early Voting","346","589","5","448","0"
"District 34  - Question","46","71","1","102","1"
"District 35 - Absentee","400","481","6","257","4"
"District 35 - Early Voting","485","681","7","336","1"
"District 35  - Question","53","76","4","58","0"
"District 36 - Early Voting - 1","21","14","0","15","0"
"District 36 - Early Voting - 2","132","188","2","122","0"
"District 36 - Question - 1","12","23","1","25","1"
"District 36 - Question - 2","43","70","1","83","0"
"District 37 - Early Voting - 1 ","20","27","0","26","0"
"District 37  - Question - 1","22","28","2","28","0"
"District 37  - Question - 2","0","5","0","4","0"
"District 38 - Absentee","148","138","2","67","1"
"District 38 - Early Voting","23","26","0","4","1"
"District 38  - Question","57","69","7","37","3"
"District 39 - Early Voting - 1","76","90","0","40","2"
"District 39 - Early Voting - 2","8","8","0","1","0"
"District 39  - Question - 1","16","28","3","14","1"
"District 39  - Question - 2","10","8","1","8","0"
"District 4 - Absentee","530","672","12","177","3"
"District 4 - Early Voting","724","1255","15","369","3"
"District 4  - Question","85","164","5","46","3"
"District 40 - Absentee","75","106","3","53","0"
"District 40 - Early Voting","14","12","1","11","0"
"District 40  - Question","32","38","2","37","0"
"District 5 - Absentee","576","774","23","543","1"
"District 5 - Early Voting","13","13","1","10","0"
"District 5  - Question","42","55","2","67","0"
"District 6 - Absentee","801","475","17","711","3"
"District 6 - Early Voting","802","479","8","585","2"
"District 6  - Question","50","42","2","93","1"
"District 7 - Absentee","431","458","13","931","4"
"District 7 - Early Voting","168","216","10","473","3"
"District 7  - Question","31","31","0","65","1"
"District 8 - Absentee","508","444","8","1002","4"
"District 8 - Early Voting","180","172","9","541","0"
"District 8  - Question","10","25","1","59","1"
"District 9 - Absentee","1031","797","13","727","3"
"District 9 - Early Voting","452","482","3","504","4"
"District 9  - Question","57","60","2","76","0"
"House District 30 - Judicial District 3","424","358","15","809","8"
"House District 30 - Judicial District 4","136","67","5","92","1"
"House District 36 - Judicial District 3","112","126","3","219","0"
"House District 36 - Judicial District 4","271","372","10","518","4"
"House District 37 - Judicial District 3","251","272","8","201","2"
"House District 37 - Judicial District 4","8","9","1","7","0"
"House District 39 - Judicial District 2","52","82","1","39","0"
"House District 39 - Judicial District 4","14","25","0","4","0"
"Total","77163","79193","2364","107532","441"
