"1","Hoffman","Hoffman","Hoffman","Hoffman","Keppel","Keppel","Keppel","Overvote","Write-in","Write-in","Write-in","Blank"
"2","","Keppel","Overvote","Write-in","","Hoffman","Write-in","","","Hoffman","Keppel",""
"37-700 Akutan","16","11","0","0","2","9","0","2","0","0","0","8"
"37-702 Aleknagik","25","11","0","0","8","2","0","0","0","0","0","5"
"37-704 Aleutians No. 1","8","2","0","0","5","3","0","0","0","0","0","2"
"37-706 Aleutians No. 2","159","59","0","2","142","30","3","0","0","0","0","38"
"37-707 Aniak","25","36","0","1","18","14","1","0","0","0","0","1"
"37-708 Chignik","2","2","0","0","4","2","0","0","0","0","0","0"
"37-709 Chuathbaluk","3","8","0","0","4","6","0","0","0","0","0","0"
"37-710 Clark's Point","2","9","0","0","0","0","0","0","0","0","0","1"
"37-712 Cold Bay","0","5","0","0","2","1","2","0","0","0","0","4"
"37-713 Crooked Creek","6","5","0","0","0","1","0","0","0","0","0","0"
"37-714 Dillingham","241","100","0","1","128","58","5","1","1","0","1","41"
"37-716 Egegik","3","0","0","0","2","0","0","0","0","0","0","0"
"37-718 Ekwok","12","5","0","0","8","5","0","0","0","0","0","4"
"37-719 Goodnews Bay","8","26","0","0","6","9","0","0","0","0","0","0"
"37-720 King Cove","33","24","0","0","30","16","0","0","0","0","0","9"
"37-722 King Salmon","43","10","0","0","35","10","0","0","0","0","0","3"
"37-724 Koliganek","31","16","0","0","4","3","0","0","0","0","0","3"
"37-726 Lake Iliamna No. 1","24","28","0","1","22","16","0","0","1","0","1","7"
"37-728 Lake Iliamna No. 2","18","13","0","0","13","11","1","0","0","0","0","4"
"37-730 Levelock","6","1","0","0","1","0","0","0","0","0","0","1"
"37-731 Lower Kalskag","15","25","0","0","2","9","0","0","0","0","0","0"
"37-732 Manokotak","21","43","0","0","5","9","0","0","0","0","0","2"
"37-734 Naknek","59","15","0","1","33","15","0","0","0","0","0","9"
"37-736 New Stuyahok","64","58","1","0","6","12","0","2","0","0","0","5"
"37-738 Nondalton","12","14","0","0","9","4","0","0","0","0","0","1"
"37-740 Pedro Bay","3","1","0","0","2","1","0","0","0","0","0","1"
"37-742 Port Heiden","6","4","0","0","7","1","1","0","0","0","0","4"
"37-744 Sand Point","35","18","0","0","28","10","0","0","0","0","0","6"
"37-746 Sleetmute","7","8","0","0","1","6","0","0","1","0","1","2"
"37-748 South Naknek","14","2","0","0","1","2","0","0","0","0","0","0"
"37-752 St. Paul Island","50","19","0","0","11","9","0","1","0","0","0","7"
"37-754 Togiak","47","52","0","0","8","19","0","0","0","0","0","2"
"37-756 Tyonek","12","2","0","0","3","4","0","0","0","0","0","4"
"37-758 Upper Kalskag","16","15","0","0","7","9","0","0","0","0","0","2"
"38-800 Akiachak","50","37","0","0","22","12","0","0","0","0","0","10"
"38-802 Akiak","32","15","0","0","40","24","0","0","0","0","0","8"
"38-806 Atmautluak","5","21","0","0","4","15","0","0","0","0","1","0"
"38-808 Bethel No. 1","198","106","1","6","101","75","2","1","3","0","0","15"
"38-810 Bethel No. 2","241","105","0","4","131","70","3","0","5","1","4","14"
"38-812 Chefornak","35","22","0","0","17","15","0","1","0","0","0","4"
"38-813 Chevak","50","56","0","1","19","10","0","0","0","0","0","8"
"38-818 Eek","6","50","0","0","3","18","0","0","0","0","1","2"
"38-822 Kasigluk","10","45","0","0","5","12","0","0","0","0","0","1"
"38-824 Kipnuk","31","32","0","0","27","33","0","1","0","0","0","2"
"38-826 Kongiganak","1","45","0","0","1","37","2","0","0","0","0","0"
"38-828 Kwethluk","43","46","0","0","24","34","3","1","1","1","0","5"
"38-830 Kwigillingok","17","15","0","0","16","7","0","0","0","0","0","1"
"38-836 Mekoryuk","15","25","0","0","11","9","0","0","1","0","0","3"
"38-838 Napakiak","11","44","0","0","5","14","1","0","0","0","0","2"
"38-840 Napaskiak","21","44","0","0","8","24","0","0","1","0","0","1"
"38-842 Newtok","8","8","0","0","5","6","0","0","0","0","0","2"
"38-844 Nightmute","14","13","0","0","4","10","0","0","0","0","0","2"
"38-846 Nunapitchuk","35","27","0","0","27","24","0","0","0","0","0","0"
"38-848 Quinhagak","43","22","0","2","29","32","0","0","0","0","0","2"
"38-852 Toksook Bay","37","61","0","0","15","34","0","1","0","0","1","4"
"38-854 Tuluksak","7","39","0","0","3","11","0","0","0","0","0","0"
"38-856 Tuntutuliak","20","46","0","0","18","40","0","0","0","0","2","5"
"38-858 Tununak","33","20","0","0","13","12","0","0","0","0","0","4"
"District 37 - Early Voting - 1 ","28","17","0","0","19","5","0","0","0","0","0","4"
"District 37  - Question - 1","14","6","0","0","5","3","1","0","0","0","0","51"
"District 37  - Question - 2","0","1","0","0","1","1","0","0","0","0","0","6"
"District 38 - Absentee","152","84","0","3","48","32","2","0","4","0","2","29"
"District 38 - Early Voting","20","22","0","0","3","8","1","0","0","0","0","0"
"District 38  - Question","39","29","0","1","12","22","0","1","1","0","1","67"
"House District 37 - Judicial District 3","297","123","0","7","163","59","3","2","3","0","0","77"
"House District 37 - Judicial District 4","5","4","0","0","10","1","0","0","0","0","0","5"
"Total","2544","1877","2","30","1366","1015","31","14","22","2","15","510"
