"1","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Insalaco","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Johnson","Overvote","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Storm","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Johnson","Johnson","Johnson","Storm","Storm","Storm","Write-in","","Insalaco","Insalaco","Insalaco","Overvote","Storm","Storm","Storm","Write-in","Write-in","Write-in","","","Insalaco","Insalaco","Insalaco","Insalaco","Johnson","Johnson","Write-in","Write-in","Write-in","","Insalaco","Insalaco","Johnson","Johnson","Storm","Storm","Storm",""
"3","","","Storm","Write-in","","Johnson","Write-in","","","","Storm","Write-in","","","Insalaco","Write-in","","Insalaco","Storm","","","","Johnson","Overvote","Write-in","","Insalaco","","Insalaco","Johnson","","","Johnson","","Storm","","Insalaco","Johnson",""
"10-150 Dimond","13","10","8","0","7","4","0","1","186","43","52","1","0","7","19","0","1","0","0","0","133","39","51","0","0","7","25","1","1","0","0","0","0","0","0","1","0","0","27"
"10-155 Oceanview No. 1","11","14","14","0","2","8","0","0","317","73","58","1","0","15","24","0","4","1","0","0","179","53","60","0","2","14","41","0","0","0","0","0","0","0","1","0","1","0","34"
"10-160 Oceanview No. 2","5","9","2","0","7","8","0","0","248","59","43","2","0","11","24","0","0","0","0","1","151","40","38","0","0","9","18","3","0","1","0","0","0","1","0","0","0","0","23"
"10-165 Oceanview No. 3","16","12","7","1","11","14","0","0","318","70","53","9","0","7","27","0","4","0","0","0","177","33","61","0","2","8","36","0","0","1","0","0","0","1","0","0","1","0","38"
"10-170 Oceanview No. 4","10","8","10","0","1","2","1","0","298","78","39","2","0","10","29","0","2","0","0","0","163","46","44","0","1","17","22","0","3","0","0","0","0","0","0","0","0","0","15"
"10-175 Oceanview No. 5","11","8","8","0","7","3","0","0","233","41","30","1","0","1","20","0","2","0","0","0","123","41","42","0","1","7","11","0","0","0","0","0","0","0","0","0","0","0","30"
"District 10 - Absentee","16","15","5","0","14","12","0","2","459","95","54","5","1","10","33","0","4","0","1","1","447","163","89","0","0","32","56","4","8","1","16","1","2","0","0","0","2","1","63"
"District 10 - Early Voting","8","12","11","0","2","6","0","0","246","58","34","1","0","9","10","0","3","2","0","0","224","63","49","2","2","23","26","1","0","0","7","1","1","1","1","0","0","0","19"
"District 10  - Question","1","1","0","0","0","1","0","0","7","2","3","0","0","1","4","1","0","0","0","0","6","1","3","0","0","0","3","0","0","0","1","0","2","0","0","0","0","0","87"
"Total","91","89","65","1","51","58","1","3","2312","519","366","22","1","71","190","1","20","3","1","2","1603","479","437","2","8","117","238","9","12","3","24","2","5","3","2","1","4","1","336"
