"1","McDonald","McDonald","McDonald","Schrage","Schrage","Schrage","Write-in","Write-in","Blank","Overvote"
"2","","Schrage","Write-in","","McDonald","Write-in","","Schrage","",""
"12-250 Southeast Anchorage No. 1","276","69","7","226","125","4","0","0","28","0"
"12-255 Southeast Anchorage No. 2","195","47","2","169","67","2","1","0","11","0"
"12-260 Southeast Anchorage No. 3","233","55","5","250","107","2","0","1","22","0"
"12-265 Southeast Anchorage No. 4","283","51","2","246","113","2","0","0","18","0"
"12-270 Southeast Anchorage No. 5","316","71","10","320","145","6","0","0","21","0"
"12-275 Southeast Anchorage No. 6","263","55","7","358","122","7","0","0","12","0"
"District 12 - Absentee","291","82","15","792","184","11","2","1","64","0"
"District 12 - Early Voting","261","36","6","400","132","4","0","0","13","1"
"District 12  - Question","13","3","1","21","10","0","0","0","99","0"
"Total","2131","469","55","2782","1005","38","3","2","288","1"
